
Matthew 
1:1	A roll of the birth of Jesus Christ, son of David, son of Abraham. 
12:31	Because of this I say to you, all sin and evil speaking shall be forgiven to men, but the evil speaking of the Spirit shall not be forgiven to men. 
12:32	And whoever may speak a word against the Son of Man it shall be forgiven to him, but whoever may speak against the Holy Spirit, it shall not be forgiven him, neither in this age, nor in that which is coming. 
12:33	'Either make the tree good, and its fruit good, or make the tree bad, and its fruit bad, for from the fruit is the tree known. 
12:34	'Brood of vipers! how are ye able to speak good things -- being evil? for out of the abundance of the heart doth the mouth speak. 
12:35	The good man out of the good treasure of the heart doth put forth the good things, and the evil man out of the evil treasure doth put forth evil things. 
12:36	'And I say to you, that every idle word that men may speak, they shall give for it a reckoning in a day of judgment; 
12:37	for from thy words thou shalt be declared righteous, and from thy words thou shalt be declared unrighteous.' 
12:38	Then answered certain of the scribes and Pharisees, saying, 'Teacher, we will to see a sign from thee.' 
12:39	And he answering said to them, 'A generation, evil and adulterous, doth seek a sign, and a sign shall not be given to it, except the sign of Jonah the prophet; 
12:40	for, as Jonah was in the belly of the fish three days and three nights, so shall the Son of Man be in the heart of the earth three days and three nights. 
12:41	'Men of Nineveh shall stand up in the judgment with this generation, and shall condemn it, for they reformed at the proclamation of Jonah, and lo, a greater than Jonah here! 
12:42	'A queen of the south shall rise up in the judgment with this generation, and shall condemn it, for she came from the ends of the earth to hear the wisdom of Solomon, and lo, a greater than Solomon here! 
12:43	'And, when the unclean spirit may go forth from the man, it doth walk through dry places seeking rest, and doth not find; 
12:44	then it saith, I will turn back to my house whence I came forth; and having come, it findeth it unoccupied, swept, and adorned: 
12:45	then doth it go, and take with itself seven other spirits more evil than itself, and having gone in they dwell there, and the last of that man doth become worse than the first; so shall it be also to this evil generation.' 
12:46	And while he was yet speaking to the multitudes, lo, his mother and brethren had stood without, seeking to speak to him, 
12:47	and one said to him, 'Lo, thy mother and thy brethren do stand without, seeking to speak to thee.' 
12:48	And he answering said to him who spake to him, 'Who is my mother? and who are my brethren?' 
12:49	And having stretched forth his hand toward his disciples, he said, 'Lo, my mother and my brethren! 
12:50	for whoever may do the will of my Father who is in the heavens, he is my brother, and sister, and mother.' 
13:1	And in that day Jesus, having gone forth from the house, was sitting by the sea, 
13:2	and gathered together unto him were many multitudes, so that he having gone into the boat did sit down, and all the multitude on the beach did stand, 
13:3	and he spake to them many things in similes, saying: 'Lo, the sower went forth to sow, 
13:4	and in his sowing, some indeed fell by the way, and the fowls did come and devour them, 
13:5	and others fell upon the rocky places, where they had not much earth, and immediately they sprang forth, through not having depth of earth, 
13:6	and the sun having risen they were scorched, and through not having root, they withered, 
13:7	and others fell upon the thorns, and the thorns did come up and choke them, 
13:8	and others fell upon the good ground, and were giving fruit, some indeed a hundredfold, and some sixty, and some thirty. 
13:9	He who is having ears to hear -- let him hear.' 
13:10	And the disciples having come near, said to him, 'Wherefore in similes dost thou speak to them?' 
13:11	And he answering said to them that -- 'To you it hath been given to know the secrets of the reign of the heavens, and to these it hath not been given, 
13:12	for whoever hath, it shall be given to him, and he shall have overabundance, and whoever hath not, even that which he hath shall be taken from him. 
13:13	'Because of this, in similes do I speak to them, because seeing they do not see, and hearing they do not hear, nor understand, 
13:14	and fulfilled on them is the prophecy of Isaiah, that saith, With hearing ye shall hear, and ye shall not understand, and seeing ye shall see, and ye shall not perceive, 
13:15	for made gross was the heart of this people, and with the ears they heard heavily, and their eyes they did close, lest they might see with the eyes, and with the ears might hear, and with the heart understand, and turn back, and I might heal them. 
13:16	'And happy are your eyes because they see, and your ears because they hear, 
13:17	for verily I say to you, that many prophets and righteous men did desire to see that which ye look on, and they did not see, and to hear that which ye hear, and they did not hear. 
13:18	'Ye, therefore, hear ye the simile of the sower: 
13:19	everyone hearing the word of the reign, and not understanding -- the evil one doth come, and doth catch that which hath been sown in his heart; this is that sown by the way. 
13:20	'And that sown on the rocky places, this is he who is hearing the word, and immediately with joy is receiving it, 
13:21	and he hath not root in himself, but is temporary, and persecution or tribulation having happened because of the word, immediately he is stumbled. 
13:22	'And that sown toward the thorns, this is he who is hearing the word, and the anxiety of this age, and the deceitfulness of the riches, do choke the word, and it becometh unfruitful. 
13:23	'And that sown on the good ground: this is he who is hearing the word, and is understanding, who indeed doth bear fruit, and doth make, some indeed a hundredfold, and some sixty, and some thirty.' 
13:24	Another simile he set before them, saying: 'The reign of the heavens was likened to a man sowing good seed in his field, 
13:25	and, while men are sleeping, his enemy came and sowed darnel in the midst of the wheat, and went away, 
13:26	and when the herb sprang up, and yielded fruit, then appeared also the darnel. 
13:27	'And the servants of the householder, having come near, said to him, Sir, good seed didst thou not sow in thy field? whence then hath it the darnel? 
13:28	And he saith to them, A man, an enemy, did this; and the servants said to him, Wilt thou, then, that having gone away we may gather it up? 
13:29	'And he said, No, lest -- gathering up the darnel -- ye root up with it the wheat, 
13:30	suffer both to grow together till the harvest, and in the time of the harvest I will say to the reapers, Gather up first the darnel, and bind it in bundles, to burn it, and the wheat gather up into my storehouse.' 
13:31	Another simile he set before them, saying: 'The reign of the heavens is like to a grain of mustard, which a man having taken, did sow in his field, 
13:32	which less, indeed, is than all the seeds, but when it may be grown, is greatest of the herbs, and becometh a tree, so that the birds of the heaven do come and rest in its branches.' 
13:33	Another simile spake he to them: 'The reign of the heavens is like to leaven, which a woman having taken, hid in three measures of meal, till the whole was leavened.' 
13:34	All these things spake Jesus in similes to the multitudes, and without a simile he was not speaking to them, 
13:35	that it might be fulfilled that was spoken through the prophet, saying, 'I will open in similes my mouth, I will utter things having been hidden from the foundation of the world.' 
13:36	Then having let away the multitudes, Jesus came to the house, and his disciples came near to him, saying, 'Explain to us the simile of the darnel of the field.' 
13:37	And he answering said to them, 'He who is sowing the good seed is the Son of Man, 
13:38	and the field is the world, and the good seed, these are the sons of the reign, and the darnel are the sons of the evil one, 
13:39	and the enemy who sowed them is the devil, and the harvest is a full end of the age, and the reapers are messengers. 
13:40	'As, then, the darnel is gathered up, and is burned with fire, so shall it be in the full end of this age, 
13:41	the Son of Man shall send forth his messengers, and they shall gather up out of his kingdom all the stumbling-blocks, and those doing the unlawlessness, 
13:42	and shall cast them to the furnace of the fire; there shall be the weeping and the gnashing of the teeth. 
13:43	'Then shall the righteous shine forth as the sun in the reign of their Father. He who is having ears to hear -- let him hear. 
13:44	'Again, the reign of the heavens is like to treasure hid in the field, which a man having found did hide, and from his joy goeth, and all, as much as he hath, he selleth, and buyeth that field. 
13:45	'Again, the reign of the heavens is like to a man, a merchant, seeking goodly pearls, 
13:46	who having found one pearl of great price, having gone away, hath sold all, as much as he had, and bought it. 
13:47	'Again, the reign of the heavens is like to a net that was cast into the sea, and did gather together of every kind, 
13:48	which, when it was filled, having drawn up again upon the beach, and having sat down, they gathered the good into vessels, and the bad they did cast out, 
13:49	so shall it be in the full end of the age, the messengers shall come forth and separate the evil out of the midst of the righteous, 
13:50	and shall cast them to the furnace of the fire, there shall be the weeping and the gnashing of the teeth.' 
13:51	Jesus saith to them, 'Did ye understand all these?' They say to him, 'Yes, sir.' 
13:52	And he said to them, 'Because of this every scribe having been discipled in regard to the reign of the heavens, is like to a man, a householder, who doth bring forth out of his treasure things new and old.' 
13:53	And it came to pass, when Jesus finished these similes, he removed thence, 
13:54	and having come to his own country, he was teaching them in their synagogue, so that they were astonished, and were saying, 'Whence to this one this wisdom and the mighty works? 
13:55	is not this the carpenter's son? is not his mother called Mary, and his brethren James, and Joses, and Simon, and Judas? 
13:56	and his sisters -- are they not all with us? whence, then, to this one all these?' 
13:57	and they were stumbled at him. And Jesus said to them, 'A prophet is not without honor except in his own country, and in his own house:' 
13:58	and he did not there many mighty works, because of their unbelief. 
14:1	At that time did Herod the tetrarch hear the fame of Jesus, 
14:2	and said to his servants, 'This is John the Baptist, he did rise from the dead, and because of this the mighty energies are working in him.' 
14:3	For Herod having laid hold on John, did bind him, and did put him in prison, because of Herodias his brother Philip's wife, 
14:4	for John was saying to him, 'It is not lawful to thee to have her,' 
14:5	and, willing to kill him, he feared the multitude, because as a prophet they were holding him. 
14:6	But the birthday of Herod being kept, the daughter of Herodias danced in the midst, and did please Herod, 
14:7	whereupon with an oath he professed to give her whatever she might ask. 
14:8	And she having been instigated by her mother -- 'Give me (says she) here upon a plate the head of John the Baptist; 
14:9	and the king was grieved, but because of the oaths and of those reclining with him, he commanded it to be given; 
14:10	and having sent, he beheaded John in the prison, 
14:11	and his head was brought upon a plate, and was given to the damsel, and she brought it nigh to her mother. 
14:12	And his disciples having come, took up the body, and buried it, and having come, they told Jesus, 
14:13	and Jesus having heard, withdrew thence in a boat to a desolate place by himself, and the multitudes having heard did follow him on land from the cities. 
14:14	And Jesus having come forth, saw a great multitude, and was moved with compassion upon them, and did heal their infirm; 
14:15	and evening having come, his disciples came to him, saying, 'The place is desolate, and the hour hath now past, let away the multitudes that, having gone to the villages, they may buy to themselves food.' 
14:16	And Jesus said to them, 'They have no need to go away -- give ye them to eat.' 
14:17	And they say to him, 'We have not here except five loaves, and two fishes.' 
14:18	And he said, 'Bring ye them to me hither.' 
14:19	And having commanded the multitudes to recline upon the grass, and having taken the five loaves and the two fishes, having looked up to the heaven, he did bless, and having broken, he gave the loaves to the disciples, and the disciples to the multitudes, 
14:20	and they did all eat, and were filled, and they took up what was over of the broken pieces twelve hand-baskets full; 
14:21	and those eating were about five thousand men, apart from women and children. 
14:22	And immediately Jesus constrained his disciples to go into the boat, and to go before him to the other side, till he might let away the multitudes; 
14:23	and having let away the multitudes, he went up to the mountain by himself to pray, and evening having come, he was there alone, 
14:24	and the boat was now in the midst of the sea, distressed by the waves, for the wind was contrary. 
14:25	And in the fourth watch of the night Jesus went away to them, walking upon the sea, 
14:26	and the disciples having seen him walking upon the sea, were troubled saying -- 'It is an apparition,' and from the fear they cried out; 
14:27	and immediately Jesus spake to them, saying, 'Be of good courage, I am he, be not afraid.' 
14:28	And Peter answering him said, 'Sir, if it is thou, bid me come to thee upon the waters;' 
14:29	and he said, 'Come;' and having gone down from the boat, Peter walked upon the waters to come unto Jesus, 
14:30	but seeing the wind vehement, he was afraid, and having begun to sink, he cried out, saying, 'Sir, save me.' 
14:31	And immediately Jesus, having stretched forth the hand, laid hold of him, and saith to him, 'Little faith! for what didst thou waver?' 
14:32	and they having gone to the boat the wind lulled, 
14:33	and those in the boat having come, did bow to him, saying, 'Truly -- God's Son art thou.' 
14:34	And having passed over, they came to the land of Gennesaret, 
14:35	and having recognized him, the men of that place sent forth to all that region round about, and they brought to him all who were ill, 
14:36	and were calling on him that they might only touch the fringe of his garment, and as many as did touch were saved. 
15:1	Then come unto Jesus do they from Jerusalem -- scribes and Pharisees -- saying, 
15:2	'Wherefore do thy disciples transgress the tradition of the elders? for they do not wash their hands when they may eat bread.' 
15:3	And he answering said to them, 'Wherefore also do ye transgress the command of God because of your tradition? 
15:4	for God did command, saying, honor thy father and mother; and, He who is speaking evil of father or mother -- let him die the death; 
15:5	but ye say, Whoever may say to father or mother, An offering is whatever thou may be profited by me; -- 
15:6	and he may not honor his father or his mother, and ye did set aside the command of God because of your tradition. 
15:7	'Hypocrites, well did Isaiah prophesy of you, saying, 
15:8	This people doth draw nigh to Me with their mouth, and with the lips it doth honor Me, but their heart is far off from Me; 
15:9	and in vain do they worship Me, teaching teachings -- commands of men.' 
15:10	And having called near the multitude, he said to them, 'Hear and understand: 
15:11	not that which is coming into the mouth doth defile the man, but that which is coming forth from the mouth, this defileth the man.' 
15:12	Then his disciples having come near, said to him, 'Hast thou known that the Pharisees, having heard the word, were stumbled?' 
15:13	And he answering said, 'Every plant that my heavenly Father did not plant shall be rooted up; 
15:14	let them alone, guides they are -- blind of blind; and if blind may guide blind, both into a ditch shall fall.' 
15:15	And Peter answering said to him, 'Explain to us this simile.' 
15:16	And Jesus said, 'Are ye also yet without understanding? 
15:17	do ye not understand that all that is going into the mouth doth pass into the belly, and into the drain is cast forth? 
15:18	but the things coming forth from the mouth from the heart do come forth, and these defile the man; 
15:19	for out of the heart come forth evil thoughts, murders, adulteries, whoredoms, thefts, false witnessings, evil speakings: 
15:20	these are the things defiling the man; but to eat with unwashen hands doth not defile the man.' 
15:21	And Jesus having come forth thence, withdrew to the parts of Tyre and Sidon, 
15:22	and lo, a woman, a Canaanitess, from those borders having come forth, did call to him, saying, 'Deal kindly with me, Sir -- Son of David; my daughter is miserably demonized.' 
15:23	And he did not answer her a word; and his disciples having come to him, were asking him, saying -- 'Let her away, because she crieth after us;' 
15:24	and he answering said, 'I was not sent except to the lost sheep of the house of Israel.' 
15:25	And having come, she was bowing to him, saying, 'Sir, help me;' 
15:26	and he answering said, 'It is not good to take the children's bread, and to cast to the little dogs.' 
15:27	And she said, 'Yes, sir, for even the little dogs do eat of the crumbs that are falling from their lords' table;' 
15:28	then answering, Jesus said to her, 'O woman, great is thy faith, let it be to thee as thou wilt;' and her daughter was healed from that hour. 
15:29	And Jesus having passed thence, came nigh unto the sea of Galilee, and having gone up to the mountain, he was sitting there, 
15:30	and there came to him great multitudes, having with them lame, blind, dumb, maimed, and many others, and they did cast them at the feet of Jesus, and he healed them, 
15:31	so that the multitudes did wonder, seeing dumb ones speaking, maimed whole, lame walking, and blind seeing; and they glorified the God of Israel. 
15:32	And Jesus having called near his disciples, said, 'I have compassion upon the multitude, because now three days they continue with me, and they have not what they may eat; and to let them away fasting I will not, lest they faint in the way.' 
15:33	And his disciples say to him, 'Whence to us, in a wilderness, so many loaves, as to fill so great a multitude?' 
15:34	And Jesus saith to them, 'How many loaves have ye?' and they said, 'Seven, and a few little fishes.' 
15:35	And he commanded the multitudes to sit down upon the ground, 
15:36	and having taken the seven loaves and the fishes, having given thanks, he did break, and gave to his disciples, and the disciples to the multitude. 
15:37	And they did all eat, and were filled, and they took up what was over of the broken pieces seven baskets full, 
15:38	and those eating were four thousand men, apart from women and children. 
15:39	And having let away the multitudes, he went into the boat, and did come to the borders of Magdala. 
16:1	And the Pharisees and Sadducees having come, tempting, did question him, to shew to them a sign from the heaven, 
16:2	and he answering said to them, 'Evening having come, ye say, Fair weather, for the heaven is red, 
16:3	and at morning, Foul weather to-day, for the heaven is red -- gloomy; hypocrites, the face of the heavens indeed ye do know to discern, but the signs of the times ye are not able! 
16:4	'A generation evil and adulterous doth seek a sign, and a sign shall not be given to it, except the sign of Jonah the prophet;' and having left them he went away. 
16:5	And his disciples having come to the other side, forgot to take loaves, 
16:6	and Jesus said to them, 'Beware, and take heed of the leaven of the Pharisees and Sadducees;' 
16:7	and they were reasoning in themselves, saying, 'Because we took no loaves.' 
16:8	And Jesus having known, said to them, 'Why reason ye in yourselves, ye of little faith, because ye took no loaves? 
16:9	do ye not yet understand, nor remember the five loaves of the five thousand, and how many hand-baskets ye took up? 
16:10	nor the seven loaves of the four thousand, and how many baskets ye took up? 
16:11	how do ye not understand that I did not speak to you of bread -- to take heed of the leaven of the Pharisees and Sadducees?' 
16:12	Then they understood that he did not say to take heed of the leaven of the bread, but of the teaching, of the Pharisees and Sadducees. 
16:13	And Jesus, having come to the parts of Cesarea Philippi, was asking his disciples, saying, 'Who do men say me to be -- the Son of Man?' 
16:14	and they said, 'Some, John the Baptist, and others, Elijah, and others, Jeremiah, or one of the prophets.' 
16:15	He saith to them, 'And ye -- who do ye say me to be?' 
16:16	and Simon Peter answering said, 'Thou art the Christ, the Son of the living God.' 
16:17	And Jesus answering said to him, 'Happy art thou, Simon Bar-Jona, because flesh and blood did not reveal it to thee, but my Father who is in the heavens. 
16:18	'And I also say to thee, that thou art a rock, and upon this rock I will build my assembly, and gates of Hades shall not prevail against it; 
16:19	and I will give to thee the keys of the reign of the heavens, and whatever thou may bind upon the earth shall be having been bound in the heavens, and whatever thou may loose upon the earth shall be having been loosed in the heavens.' 
16:20	Then did he charge his disciples that they may say to no one that he is Jesus the Christ. 
16:21	From that time began Jesus to shew to his disciples that it is necessary for him to go away to Jerusalem, and to suffer many things from the elders, and chief priests, and scribes, and to be put to death, and the third day to rise. 
16:22	And having taken him aside, Peter began to rebuke him, saying, 'Be kind to thyself, sir; this shall not be to thee;' 
16:23	and he having turned, said to Peter, 'Get thee behind me, adversary! thou art a stumbling-block to me, for thou dost not mind the things of God, but the things of men.' 
16:24	Then said Jesus to his disciples, 'If anyone doth will to come after me, let him disown himself, and take up his cross, and follow me, 
16:25	for whoever may will to save his life, shall lose it, and whoever may lose his life for my sake shall find it, 
16:26	for what is a man profited if he may gain the whole world, but of his life suffer loss? or what shall a man give as an exchange for his life? 
16:27	'For, the Son of Man is about to come in the glory of his Father, with his messengers, and then he will reward each, according to his work. 
16:28	Verily I say to you, there are certain of those standing here who shall not taste of death till they may see the Son of Man coming in his reign.' 
17:1	And after six days Jesus taketh Peter, and James, and John his brother, and doth bring them up to a high mount by themselves, 
17:2	and he was transfigured before them, and his face shone as the sun, and his garments did become white as the light, 
17:3	and lo, appear to them did Moses and Elijah, talking together with him. 
17:4	And Peter answering said to Jesus, 'Sir, it is good to us to be here; if thou wilt, we may make here three booths -- for thee one, and for Moses one, and one for Elijah.' 
17:5	While he is yet speaking, lo, a bright cloud overshadowed them, and lo, a voice out of the cloud, saying, 'This is My Son, -- the Beloved, in whom I did delight; hear him.' 
17:6	And the disciples having heard, did fall upon their face, and were exceedingly afraid, 
17:7	and Jesus having come near, touched them, and said, 'Rise, be not afraid,' 
17:8	and having lifted up their eyes, they saw no one, except Jesus only. 
17:9	And as they are coming down from the mount, Jesus charged them, saying, 'Say to no one the vision, till the Son of Man out of the dead may rise.' 
17:10	And his disciples questioned him, saying, 'Why then do the scribes say that Elijah it behoveth to come first?' 
17:11	And Jesus answering said to them, 'Elijah doth indeed come first, and shall restore all things, 
17:12	and I say to you -- Elijah did already come, and they did not know him, but did with him whatever they would, so also the Son of Man is about to suffer by them.' 
17:13	Then understood the disciples that concerning John the Baptist he spake to them. 
17:14	And when they came unto the multitude, there came to him a man, kneeling down to him, 
17:15	and saying, 'Sir, deal kindly with my son, for he is lunatic, and doth suffer miserably, for often he doth fall into the fire, and often into the water, 
17:16	and I brought him near to thy disciples, and they were not able to heal him.' 
17:17	And Jesus answering said, 'O generation, unstedfast and perverse, till when shall I be with you? till when shall I bear you? bring him to me hither;' 
17:18	and Jesus rebuked him, and the demon went out of him, and the lad was healed from that hour. 
17:19	Then the disciples having come to Jesus by himself, said, 'Wherefore were we not able to cast him out?' 
17:20	And Jesus said to them, 'Through your want of faith; for verily I say to you, if ye may have faith as a grain of mustard, ye shall say to this mount, Remove hence to yonder place, and it shall remove, and nothing shall be impossible to you, 
17:21	and this kind doth not go forth except in prayer and fasting.' 
17:22	And while they are living in Galilee, Jesus said to them, 'The Son of Man is about to be delivered up to the hands of men, 
17:23	and they shall kill him, and the third day he shall rise,' and they were exceeding sorry. 
17:24	And they having come to Capernaum, those receiving the didrachms came near to Peter, and said, 'Your teacher -- doth he not pay the didrachms?' He saith, 'Yes.' 
17:25	And when he came into the house, Jesus anticipated him, saying, 'What thinkest thou, Simon? the kings of the earth -- from whom do they receive custom or poll-tax? from their sons or from the strangers?' 
17:26	Peter saith to him, 'From the strangers.' Jesus said to him, 'Then are the sons free; 
17:27	but, that we may not cause them to stumble, having gone to the sea, cast a hook, and the fish that hath come up first take thou up, and having opened its mouth, thou shalt find a stater, that having taken, give to them for me and thee.' 
18:1	At that hour came the disciples near to Jesus, saying, 'Who, now, is greater in the reign of the heavens?' 
18:2	And Jesus having called near a child, did set him in the midst of them, 
18:3	and said, 'Verily I say to you, if ye may not be turned and become as the children, ye may not enter into the reign of the heavens; 
18:4	whoever then may humble himself as this child, he is the greater in the reign of the heavens. 
18:5	'And he who may receive one such child in my name, doth receive me, 
18:6	and whoever may cause to stumble one of those little ones who are believing in me, it is better for him that a weighty millstone may be hanged upon his neck, and he may be sunk in the depth of the sea. 
18:7	'Wo to the world from the stumbling-blocks! for there is a necessity for the stumbling-blocks to come, but wo to that man through whom the stumbling-block doth come! 
18:8	'And if thy hand or thy foot doth cause thee to stumble, cut them off and cast from thee; it is good for thee to enter into the life lame or maimed, rather than having two hands or two feet, to be cast to the fire the age-during. 
18:9	'And if thine eye doth cause thee to stumble, pluck it out and cast from thee; it is good for thee one-eyed to enter into the life, rather than having two eyes to be cast to the gehenna of the fire. 
18:10	'Beware! -- ye may not despise one of these little ones, for I say to you, that their messengers in the heavens do always behold the face of my Father who is in the heavens, 
18:11	for the Son of Man did come to save the lost. 
18:12	'What think ye? if a man may have an hundred sheep, and there may go astray one of them, doth he not -- having left the ninety-nine, having gone on the mountains -- seek that which is gone astray? 
18:13	and if it may come to pass that he doth find it, verily I say to you, that he doth rejoice over it more than over the ninety-nine that have not gone astray; 
18:14	so it is not will in presence of your Father who is in the heavens, that one of these little ones may perish. 
18:15	'And if thy brother may sin against thee, go and show him his fault between thee and him alone, if he may hear thee, thou didst gain thy brother; 
18:16	and if he may not hear, take with thee yet one or two, that by the mouth of two witnesses or three every word may stand. 
18:17	'And if he may not hear them, say it to the assembly, and if also the assembly he may not hear, let him be to thee as the heathen man and the tax-gatherer. 
18:18	'Verily I say to you, Whatever things ye may bind upon the earth shall be having been bound in the heavens, and whatever things ye may loose on the earth shall be having been loosed in the heavens. 
18:19	'Again, I say to you, that, if two of you may agree on the earth concerning anything, whatever they may ask -- it shall be done to them from my Father who is in the heavens, 
18:20	for where there are two or three gathered together -- to my name, there am I in the midst of them.' 
18:21	Then Peter having come near to him, said, 'Sir, how often shall my brother sin against me, and I forgive him -- till seven times?' 
18:22	Jesus saith to him, 'I do not say to thee till seven times, but till seventy times seven. 
18:23	'Because of this was the reign of the heavens likened to a man, a king, who did will to take reckoning with his servants, 
18:24	and he having begun to take account, there was brought near to him one debtor of a myriad of talents, 
18:25	and he having nothing to pay, his lord did command him to be sold, and his wife, and the children, and all, whatever he had, and payment to be made. 
18:26	The servant then, having fallen down, was bowing to him, saying, Sir, have patience with me, and I will pay thee all; 
18:27	and the lord of that servant having been moved with compassion did release him, and the debt he forgave him. 
18:28	'And, that servant having come forth, found one of his fellow-servants who was owing him an hundred denaries, and having laid hold, he took him by the throat, saying, Pay me that which thou owest. 
18:29	His fellow-servant then, having fallen down at his feet, was calling on him, saying, Have patience with me, and I will pay thee all; 
18:30	and he would not, but having gone away, he cast him into prison, till he might pay that which was owing. 
18:31	'And his fellow-servants having seen the things that were done, were grieved exceedingly, and having come, shewed fully to their lord all the things that were done; 
18:32	then having called him, his lord saith to him, Evil servant! all that debt I did forgive thee, seeing thou didst call upon me, 
18:33	did it not behove also thee to have dealt kindly with thy fellow-servant, as I also dealt kindly with thee? 
18:34	'And having been wroth, his lord delivered him to the inquisitors, till he might pay all that was owing to him; 
18:35	so also my heavenly Father will do to you, if ye may not forgive each one his brother from your hearts their trespasses.' 
19:1	And it came to pass, when Jesus finished these words, he removed from Galilee, and did come to the borders of Judea, beyond the Jordan, 
19:2	and great multitudes followed him, and he healed them there. 
19:3	And the Pharisees came near to him, tempting him, and saying to him, 'Is it lawful for a man to put away his wife for every cause?' 
19:4	And he answering said to them, 'Did ye not read, that He who made them, from the beginning a male and a female made them, 
19:5	and said, For this cause shall a man leave father and mother, and cleave to his wife, and they shall be -- the two -- for one flesh? 
19:6	so that they are no more two, but one flesh; what therefore God did join together, let no man put asunder.' 
19:7	They say to him, 'Why then did Moses command to give a roll of divorce, and to put her away?' 
19:8	He saith to them -- 'Moses for your stiffness of heart did suffer you to put away your wives, but from the beginning it hath not been so. 
19:9	'And I say to you, that, whoever may put away his wife, if not for whoredom, and may marry another, doth commit adultery; and he who did marry her that hath been put away, doth commit adultery.' 
19:10	His disciples say to him, 'If the case of the man with the woman is so, it is not good to marry.' 
19:11	And he said to them, 'All do not receive this word, but those to whom it hath been given; 
19:12	for there are eunuchs who from the mother's womb were so born; and there are eunuchs who were made eunuchs by men; and there are eunuchs who kept themselves eunuchs because of the reign of the heavens: he who is able to receive it -- let him receive.' 
19:13	Then were brought near to him children that he might put hands on them and pray, and the disciples rebuked them. 
19:14	But Jesus said, 'Suffer the children, and forbid them not, to come unto me, for of such is the reign of the heavens;' 
19:15	and having laid on them his hands, he departed thence. 
19:16	And lo, one having come near, said to him, 'Good teacher, what good thing shall I do, that I may have life age-during?' 
19:17	And he said to him, 'Why me dost thou call good? no one is good except One -- God; but if thou dost will to enter into the life, keep the commands.' 
19:18	He saith to him, 'What kind?' And Jesus said, 'Thou shalt not kill, thou shalt not commit adultery, thou shalt not steal, thou shalt not bear false witness, 
19:19	honor thy father and mother, and, thou shalt love thy neighbor as thyself.' 
19:20	The young man saith to him, 'All these did I keep from my youth; what yet do I lack?' 
19:21	Jesus said to him, 'If thou dost will to be perfect, go away, sell what thou hast, and give to the poor, and thou shalt have treasure in heaven, and come, follow me.' 
19:22	And the young man, having heard the word, went away sorrowful, for he had many possessions; 
19:23	and Jesus said to his disciples, 'Verily I say to you, that hardly shall a rich man enter into the reign of the heavens; 
19:24	and again I say to you, it is easier for a camel through the eye of a needle to go, than for a rich man to enter into the reign of God.' 
19:25	And his disciples having heard, were amazed exceedingly, saying, 'Who, then, is able to be saved?' 
19:26	And Jesus having earnestly beheld, said to them, 'With men this is impossible, but with God all things are possible.' 
19:27	Then Peter answering said to him, 'Lo, we did leave all, and follow thee, what then shall we have?' 
19:28	And Jesus said to them, 'Verily I say to you, that ye who did follow me, in the regeneration, when the Son of Man may sit upon a throne of his glory, shall sit -- ye also -- upon twelve thrones, judging the twelve tribes of Israel; 
19:29	and everyone who left houses, or brothers, or sisters, or father, or mother, or wife, or children, or fields, for my name's sake, an hundredfold shall receive, and life age-during shall inherit; 
19:30	and many first shall be last, and last first. 
20:1	'For the reign of the heavens is like to a man, a householder, who went forth with the morning to hire workmen for his vineyard, 
20:2	and having agreed with the workmen for a denary a day, he sent them into his vineyard. 
20:3	'And having gone forth about the third hour, he saw others standing in the market-place idle, 
20:4	and to these he said, Go ye -- also ye -- to the vineyard, and whatever may be righteous I will give you; 
20:5	and they went away. 'Again, having gone forth about the sixth and the ninth hour, he did in like manner. 
20:6	And about the eleventh hour, having gone forth, he found others standing idle, and saith to them, Why here have ye stood all the day idle? 
20:7	they say to him, Because no one did hire us; he saith to them, Go ye -- ye also -- to the vineyard, and whatever may be righteous ye shall receive. 
20:8	'And evening having come, the lord of the vineyard saith to his steward, Call the workmen, and pay them the reward, having begun from the last -- unto the first. 
20:9	And they of about the eleventh hour having come, did receive each a denary. 
20:10	'And the first having come, did suppose that they shall receive more, and they received, they also, each a denary, 
20:11	and having received it, they were murmuring against the householder, saying, 
20:12	that These, the last, wrought one hour, and thou didst make them equal to us, who were bearing the burden of the day -- and the heat. 
20:13	'And he answering said to one of them, Comrade, I do no unrighteousness to thee; for a denary didst not thou agree with me? 
20:14	take that which is thine, and go; and I will to give to this, the last, also as to thee; 
20:15	is it not lawful to me to do what I will in mine own? is thine eye evil because I am good? 
20:16	So the last shall be first, and the first last, for many are called, and few chosen.' 
20:17	And Jesus going up to Jerusalem, took the twelve disciples by themselves in the way, and said to them, 
20:18	'Lo, we go up to Jerusalem, and the Son of Man shall be delivered to the chief priests and scribes, 
20:19	and they shall condemn him to death, and shall deliver him to the nations to mock, and to scourge, and to crucify, and the third day he will rise again.' 
20:20	Then came near to him the mother of the sons of Zebedee, with her sons, bowing and asking something from him, 
20:21	and he said to her, 'What wilt thou?' She saith to him, 'Say, that they may sit -- these my two sons -- one on thy right hand, and one on the left, in thy reign.' 
20:22	And Jesus answering said, 'Ye have not known what ye ask for yourselves; are ye able to drink of the cup that I am about to drink? and with the baptism that I am baptized with, to be baptized?' They say to him, 'We are able.' 
20:23	And he saith to them, 'Of my cup indeed ye shall drink, and with the baptism that I am baptized with ye shall be baptized; but to sit on my right hand and on my left is not mine to give, but -- to those for whom it hath been prepared by my father.' 
