Psalms of Solomon 
1:1	εβοησα προς κυριον εν τω θλιβεσθαι με εις τελος προς τον θεον εν τω επιθεσθαι αμαρτωλούς
15:2	τις γαρ ισχυει ο θεος ει μη εξομολογησασθαι σοι εν αληθεια και τι δυνατος ανθρωπος ει μη εξομολογησασθαι τω ονοματι σου
15:3	ψαλμον καινον μετα ωδης εν ευφροσυνη καρδιας καρπον χειλεων εν οργανω ηρμοσμενω γλωσσης απαρχην χειλεων απο καρδιας οσιας και δικαιας
15:4	ο ποιων ταυτα ου σαλευθησεται εις τον αιωνα απο κακου φλοξ πυρος και οργη αδικων ουχ αψεται αυτου
15:5	οταν εξελθη επι αμαρτωλους απο προσωπου κυριου ολεθρευσαι πασαν υποστασιν αμαρτωλων
15:6	οτι το σημειον του θεου επι δικαιους εις σωτηριαν
15:7	λιμος και ρομφαια και θανατος απο δικαιων μακραν φευξονται γαρ ως διωκομενοι πολεμου απο οσιων
15:8	καταδιωξονται δε αμαρτωλους και καταλημψονται και ουκ εκφευξονται οι ποιουντες ανομιαν το κριμα κυριου
15:9	ως υπο πολεμιων εμπειρων καταλημφθησονται το γαρ σημειον της απωλειας επι του μετωπου αυτων
15:10	και η κληρονομια των αμαρτωλων απωλεια και σκοτος και αι ανομιαι αυτων διωξονται αυτους εως αδου κατω
15:11	η κληρονομια αυτων ουχ ευρεθησεται τοις τεκνοις αυτων αι γαρ αμαρτιαι εξερημωσουσιν οικους αμαρτωλων
15:12	και απολουνται αμαρτωλοι εν ημερα κρισεως κυριου εις τον αιωνα οταν επισκεπτηται ο θεος την γην εν κριματι αυτου
15:13	οι δε φοβούμενοι τον κυριον ελεηθησονται εν αυτη και ζησονται εν τη ελεημοσύνη του θεου αυτων και αμαρτωλοι απολουνται εις τον αιωνα χρονον
16:1	εν τω νυσταξαι ψυχην μου απο κυριου παρα μικρον ωλισθησα εν καταφορα υπνουντων μακραν απο θεου
16:2	παρ ολιγον εξεχυθη η ψυχη μου εις θανατον συνεγγυς πυλων αδου μετα αμαρτωλου
16:3	εν τω διενεχθηναι ψυχην μου απο κυριου θεου Ισραηλ ει μη ο κυριος αντελαβετο μου τω ελεει αυτου εις τον αιωνα
16:4	ενυξεν με ως κεντρον ιππου επι την γρηγορησιν αυτου ο σωτηρ και αντιληπτωρ μου εν παντι καιρω εσωσεν με
16:5	εξομολογησομαι σοι ο θεος οτι αντελαβου μου εις σωτηριαν και ουκ ελογισω με μετα των αμαρτωλων εις απωλειαν
16:6	μη αποστησης το ελεος σου απ εμου ο θεος μηδε την μνημην σου απο καρδιας μου εως θανατου
16:7	επικρατησον μου ο θεος απο αμαρτιας πονηρας και απο πασης γυναικος πονηρας σκανδαλιζουσης αφρονα
16:8	και μη απατησατω με καλλος γυναικος παρανομουσης και παντος υποκειμενου απο αμαρτιας ανωφελους
16:9	τα εργα των χειρων μου κατευθυνον εν τοπω σου και τα διαβηματα μου εν τη μνημη σου διαφυλαξον
16:10	την γλωσσαν μου και τα χειλη μου εν λογοις αληθειας περιστειλον οργην και θυμον αλογον μακραν ποιησον απ εμου
16:11	γογγυσμον και ολιγοψυχιαν εν θλιψει μακρυνον απ εμου εαν αμαρτησω εν τω σε παιδευειν εις επιστροφην
16:12	ευδοκια δε μετα ιλαροτητος στηρισον την ψυχην μου εν τω ενισχυσαι σε την ψυχην μου αρκεσει μοι το δοθεν
16:13	οτι εαν μη συ ενισχυσης τις υφεξεται παιδειαν εν πενια
16:14	εν τω ελεγχεσθαι ψυχην εν χειρι σαπριας αυτου η δοκιμασια σου εν σαρκι αυτου και εν θλιψει πενιας
16:15	εν τω υπομειναι δικαιον εν τουτοις ελεηθησεται υπο κυριου
17:1	κυριε συ αυτος βασιλευς ημων εις τον αιωνα και ετι οτι εν σοι ο θεος καυχησεται η ψυχη ημων
17:2	και τις ο χρονος ζωης ανθρωπου επι της γης κατα τον χρονον αυτου και η ελπις αυτου επ αυτον
17:3	ημεις δε ελπιουμεν επι τον θεον σωτηρα ημων οτι το κρατος του θεου ημων εις τον αιωνα μετ ελεους και η βασίλεια του θεου ημων εις τον αιωνα επι τα εθνη εν κρισει
17:4	συ κυριε ηρετισω τον Δαυιδ βασιλεα επι Ισραηλ και συ ωμοσας αυτω περι του σπερματος αυτου εις τον αιωνα του μη εκλειπειν απεναντι σου βασιλειον αυτου
17:5	και εν ταις αμαρτιαις ημων επανεστησαν ημιν αμαρτωλοι επεθεντο ημιν και εξωσαν ημας οις ουκ επηγγειλω μετα βιας αφειλαντο και ουκ εδοξασαν το ονομα σου το εντιμον
17:6	εν δοξη εθεντο βασιλειον αντι υψους αυτων ηρημωσαν τον θρονον Δαυιδ εν υπερηφανια αλλαγματος
17:7	και συ ο θεος καταβαλεις αυτους και αρεις το σπερμα αυτων απο της γης εν τω επαναστηναι αυτοις ανθρωπον αλλοτριον γενους ημων
17:8	κατα τα αμαρτηματα αυτων αποδωσεις αυτοις ο θεος ευρεθηναι αυτοις κατα τα εργα αυτων
17:9	ουκ ηλεησεν αυτους ο θεος εξηρευνησεν το σπερμα αυτων και ουκ αφηκεν αυτων ενα
17:10	πιστος ο κυριος εν πασι τοις κριμασιν αυτου οις ποιει επι την γην
17:11	ηρημωσεν ο ανομος την γην ημων απο ενοικουντων αυτην ηφανισαν νεον και πρεσβυτην και τεκνα αυτων αμα
17:12	εν οργη καλλους αυτου εξαπεστειλεν αυτα εως επι δυσμων και τους αρχοντας της γης εις εμπαιγμον και ουκ εφεισατο
17:13	εν αλλοτριοτητι ο εχθρος εποιησεν υπερηφανιαν και η καρδια αυτου αλλοτρια απο του θεου ημων
17:14	και παντα οσα εποιησεν εν Ιερουσαλημ καθως και τα εθνη εν ταις πολεσι του σθενους αυτων
17:15	και επεκρατουσαν αυτων οι υιοι της διαθηκης εν μεσω εθνων συμμικτων ουκ ην εν αυτοις ο ποιων εν Ιερουσαλημ ελεος και αληθειαν
17:16	εφυγοσαν απ αυτων οι αγαπωντες συναγωγας οσιων ως στρουθια εξεπετασθησαν απο κοιτης αυτων
17:17	επλανωντο εν ερημοις σωθηναι ψυχας αυτων απο κακου και τιμιον εν οφθαλμοις παροικιας ψυχη σεσωσμενη εξ αυτων
17:18	εις πασαν την γην εγενηθη ο σκορπισμος αυτων υπο ανομων οτι ανεσχεν ο ουρανος του σταξαι υετον επι την γην
17:19	πηγαι συνεσχεθησαν αιωνιοι εξ αβυσσων απο ορεων υψηλων οτι ουκ ην εν αυτοις ποιων δικαιοσυνην και κριμα
17:20	απο αρχοντος αυτων και λαου ελαχιστου εν παση αμαρτια ο βασιλευς εν παρανομια και ο κριτης εν απειθεια και ο λαος εν αμαρτια
17:21	ιδε κυριε και αναστησον αυτοις τον βασιλεα αυτων υιον Δαυιδ εις τον καιρον ον ειλου συ ο θεος του βασιλευσαι επι ισραηλ παιδα σου
17:22	και υποζωσον αυτον ισχυν του θραυσαι αρχοντας αδικους καθαρισαι Ιερουσαλημ απο εθνων καταπατουντων εν απωλεια
17:23	εν σοφια δικαιοσυνης εξωσαι αμαρτωλους απο κληρονομιας εκτριψαι υπερηφανιαν αμαρτωλού ως σκευη κεραμεως
17:24	εν ραβδω σιδηρα συντριψαι πασαν υποστασιν αυτων ολεθρευσαι εθνη παρανομα εν λογω στοματος αυτου
17:25	εν απειλη αυτου φυγειν εθνη απο προσωπου αυτου και ελεγξαι αμαρτωλους εν λογω καρδιας αυτων
17:26	και συναξει λαον αγιον ου αφηγησεται εν δικαιοσυνη και κρινει φυλας λαου ηγιασμενου υπο κυριου θεου αυτου
17:27	και ουκ αφησει αδικιαν εν μεσω αυτων αυλισθηναι ετι και ου κατοικησει πας ανθρωπος μετ αυτων ειδως κακιαν γνωσεται γαρ αυτους οτι παντες υιοι θεου εισιν αυτων
17:28	και καταμερισει αυτους εν ταις φυλαις αυτων επι της γης και παροικος και αλλογενης ου παροικησει αυτοις ετι
17:29	κρινει λαους και εθνη εν σοφια δικαιοσυνης αυτου διαψαλμα
17:30	και εξει λαους εθνων δουλευειν αυτω υπο τον ζυγον αυτου και τον κυριον δοξασει εν επισημω πασης της γης και καθαριει Ιερουσαλημ εν αγιασμω ως και το απ αρχης
17:31	ερχεσθαι εθνη απ ακρου της γης ιδειν την δοξαν αυτου φεροντες δωρα τους εξησθενηκοτας υιους αυτης και ιδειν την δοξαν κυριου ην εδοξασεν αυτην ο θεος
17:32	και αυτος βασιλευς δικαιος διδακτος υπο θεου επ αυτους και ουκ εστιν αδικια εν ταις ημεραις αυτου εν μεσω αυτων οτι παντες αγιοι και βασιλευς αυτων χριστος κυριου
17:33	ου γαρ ελπιει επι ιππον και αναβατην και τοξον ουδε πληθυνει αυτω χρυσιον ουδε αργυριον εις πολεμον και πολλοις λαοις ου συναξει ελπιδας εις ημεραν πολεμου
17:34	κυριος αυτος βασιλευς αυτου ελπις του δυνατου ελπιδι θεου και ελεησει παντα τα εθνη ενωπιον αυτου εν φοβω
17:35	παταξει γαρ γην τω λογω του στοματος αυτου εις αιωνα ευλογησει λαον κυριου εν σοφια μετ ευφροσυνης
17:36	και αυτος καθαρος απο αμαρτιας του αρχειν λαου μεγαλου ελεγξαι αρχοντας και εξαραι αμαρτωλους εν ισχυι λογου
17:37	και ουκ ασθενησει εν ταις ημεραις αυτου επι θεω αυτου οτι ο θεος κατειργασατο αυτον δυνατον εν πνευματι αγιω και σοφον εν βουλη συνεσεως μετα ισχυος και δικαιοσυνης
17:38	και ευλογια κυριου μετ αυτου εν ισχυι και ουκ ασθενησει
17:39	η ελπις αυτου επι κυριον και τις δυναται προς αυτον
17:40	ισχυρος εν εργοις αυτου και κραταιος εν φοβω θεου ποιμαινων το ποιμνιον κυριου εν πιστει και δικαιοσυνη και ουκ αφησει ασθενησαι εν αυτοις εν τη νομη αυτων
17:41	εν ισοτητι παντας αυτους αξει και ουκ εσται εν αυτοις υπερηφανια του καταδυναστευθηναι εν αυτοις
17:42	αυτη η ευπρεπεια του βασιλεως Ισραηλ ην εγνω ο θεος αναστησαι αυτον επ οικον Ισραηλ παιδευσαι αυτον
17:43	τα ρηματα αυτου πεπυρωμενα υπερ χρυσιον το πρωτον τιμιον εν συναγωγαις διακρινει λαου φυλας ηγιασμενου οι λογοι αυτου ως λογοι αγιων εν μεσω λαων ηγιασμενων
17:44	μακαριοι οι γενομενοι εν ταις ημεραις εκειναις ιδειν τα αγαθα Ισραηλ εν συναγωγη φυλων α ποιησει ο θεος
17:45	ταχυναι ο θεος επι Ισραηλ το ελεος αυτου ρυσαιτο ημας απο ακαθαρσιας εχθρων βεβηλων
17:46	κυριος αυτος βασιλευς ημων εις τον αιωνα και ετι
18:1	κυριε το ελεος σου επι τα εργα των χειρων σου εις τον αιωνα η χρηστοτης σου μετα δοματος πλουσιου επι Ισραηλ
18:2	οι οφθαλμοι σου επιβλεποντες επ αυτα και ουχ υστερησει εξ αυτων τα ωτα σου επακουει εις δεησιν πτωχου εν ελπιδι
18:3	τα κριματα σου επι πασαν την γην μετα ελεους και η αγαπη σου επι σπερμα Αβρααμ υιους Ισραηλ
18:4	η παιδεια σου εφ ημας ως υιον πρωτοτοκον μονογενη αποστρεψαι ψυχην ευηκοον απο αμαθιας εν αγνοια
18:5	καθαρισαι ο θεος Ισραηλ εις ημεραν ελεους εν ευλογια εις ημεραν εκλογης εν αναξει χριστου αυτου
18:6	μακαριοι οι γενομενοι εν ταις ημεραις εκειναις ιδειν τα αγαθα κυριου α ποιησει γενεα τη ερχομενη
18:7	υπο ραβδον παιδειας χριστου κυριου εν φοβω θεου αυτου εν σοφια πνευματος και δικαιοσυνης και ισχυος
18:8	κατευθυναι ανδρα εν εργοις δικαιοσυνης φοβω θεου καταστησαι παντας αυτους ενωπιον κυριου
18:9	γενεα αγαθη εν φοβω θεου εν ημεραις ελεους διαψαλμα
18:10	μεγας ημων ο θεος και ενδοξος εν υψιστοις κατοικων ο διαταξας εν πορεια φωστηρας εις καιρους ωρων αφ ημερων εις ημερας και ου παρεβησαν απο οδου ης ενετειλω αυτοις
18:11	εν φοβω θεου η οδος αυτων καθ εκαστην ημεραν αφ ης ημερας εκτισεν αυτους ο θεος και εως αιωνος
18:12	και ουκ επλανηθησαν αφ ης ημερας εκτισεν αυτους απο γενεων αρχαιων ουκ απεστησαν οδων αυτων ει μη ο θεος ενετειλατο αυτοις εν επιταγη δουλων αυτου
