
Nehemiah 
1:1	λόγοι Νεεμια υἱοῦ Αχαλια καὶ ἐγένετο ἐν μηνὶ Χασεηλου ἔτους εἰκοστοῦ καὶ ἐγὼ ἤμην ἐν Σουσαν αβιρα 
5:9	καὶ εἶπα οὐκ ἀγαθὸς ὁ λόγος ὃν ὑμεῖς ποιεῖτε οὐχ οὕτως ἐν φόβῳ θεοῦ ἡμῶν ἀπελεύσεσθε ἀπὸ ὀνειδισμοῦ τῶν ἐθνῶν τῶν ἐχθρῶν ἡμῶν 
5:10	καὶ οἱ ἀδελφοί μου καὶ οἱ γνωστοί μου καὶ ἐγὼ ἐθήκαμεν ἐν αὐτοῖς ἀργύριον καὶ σῖτον ἐγκαταλίπωμεν δὴ τὴν ἀπαίτησιν ταύτην 
5:11	ἐπιστρέψατε δὴ αὐτοῖς ὡς σήμερον ἀγροὺς αὐτῶν ἀμπελῶνας αὐτῶν ἐλαίας αὐτῶν καὶ οἰκίας αὐτῶν καὶ ἀπὸ τοῦ ἀργυρίου τὸν σῖτον καὶ τὸν οἶνον καὶ τὸ ἔλαιον ἐξενέγκατε αὐτοῖς 
5:12	καὶ εἶπαν ἀποδώσομεν καὶ παρ᾽ αὐτῶν οὐ ζητήσομεν οὕτως ποιήσομεν καθὼς σὺ λέγεις καὶ ἐκάλεσα τοὺς ἱερεῖς καὶ ὥρκισα αὐτοὺς ποιῆσαι ὡς τὸ ῥῆμα τοῦτο 
5:13	καὶ τὴν ἀναβολήν μου ἐξετίναξα καὶ εἶπα οὕτως ἐκτινάξαι ὁ θεὸς πάντα ἄνδρα ὃς οὐ στήσει τὸν λόγον τοῦτον ἐκ τοῦ οἴκου αὐτοῦ καὶ ἐκ κόπου αὐτοῦ καὶ ἔσται οὕτως ἐκτετιναγμένος καὶ κενός καὶ εἶπεν πᾶσα ἡ ἐκκλησία αμην καὶ ᾔνεσαν τὸν κύριον καὶ ἐποίησεν ὁ λαὸς τὸ ῥῆμα τοῦτο 
5:14	ἀπὸ τῆς ἡμέρας ἧς ἐνετείλατό μοι εἶναι εἰς ἄρχοντα αὐτῶν ἐν γῇ Ιουδα ἀπὸ ἔτους εἰκοστοῦ καὶ ἕως ἔτους τριακοστοῦ καὶ δευτέρου τῷ Αρθασασθα ἔτη δώδεκα ἐγὼ καὶ οἱ ἀδελφοί μου βίαν αὐτῶν οὐκ ἔφαγον 
5:15	καὶ τὰς βίας τὰς πρώτας ἃς πρὸ ἐμοῦ ἐβάρυναν ἐπ᾽ αὐτοὺς καὶ ἐλάβοσαν παρ᾽ αὐτῶν ἐν ἄρτοις καὶ ἐν οἴνῳ ἔσχατον ἀργύριον δίδραχμα τεσσαράκοντα καὶ οἱ ἐκτετιναγμένοι αὐτῶν ἐξουσιάζονται ἐπὶ τὸν λαόν καὶ ἐγὼ οὐκ ἐποίησα οὕτως ἀπὸ προσώπου φόβου θεοῦ 
5:16	καὶ ἐν ἔργῳ τοῦ τείχους τούτων οὐκ ἐκράτησα ἀγρὸν οὐκ ἐκτησάμην καὶ πάντες οἱ συνηγμένοι ἐκεῖ ἐπὶ τὸ ἔργον 
5:17	καὶ οἱ Ιουδαῖοι ἑκατὸν καὶ πεντήκοντα ἄνδρες καὶ οἱ ἐρχόμενοι πρὸς ἡμᾶς ἀπὸ τῶν ἐθνῶν τῶν κύκλῳ ἡμῶν ἐπὶ τράπεζάν μου 
5:18	καὶ ἦν γινόμενον εἰς ἡμέραν μίαν μόσχος εἷς καὶ πρόβατα ἓξ ἐκλεκτὰ καὶ χίμαρος ἐγίνοντό μοι καὶ ἀνὰ μέσον δέκα ἡμερῶν ἐν πᾶσιν οἶνος τῷ πλήθει καὶ σὺν τούτοις ἄρτους τῆς βίας οὐκ ἐζήτησα ὅτι βαρεῖα ἡ δουλεία ἐπὶ τὸν λαὸν τοῦτον 
5:19	μνήσθητί μου ὁ θεός εἰς ἀγαθὸν πάντα ὅσα ἐποίησα τῷ λαῷ τούτῳ 
6:1	καὶ ἐγένετο καθὼς ἠκούσθη τῷ Σαναβαλλατ καὶ Τωβια καὶ τῷ Γησαμ τῷ Αραβι καὶ τοῖς καταλοίποις τῶν ἐχθρῶν ἡμῶν ὅτι ᾠκοδόμησα τὸ τεῖχος καὶ οὐ κατελείφθη ἐν αὐτοῖς πνοή ἕως τοῦ καιροῦ ἐκείνου θύρας οὐκ ἐπέστησα ἐν ταῖς πύλαις 
6:2	καὶ ἀπέστειλεν Σαναβαλλατ καὶ Γησαμ πρός με λέγων δεῦρο καὶ συναχθῶμεν ἐπὶ τὸ αὐτὸ ἐν ταῖς κώμαις ἐν πεδίῳ Ωνω καὶ αὐτοὶ λογιζόμενοι ποιῆσαί μοι πονηρίαν 
6:3	καὶ ἀπέστειλα ἐπ᾽ αὐτοὺς ἀγγέλους λέγων ἔργον μέγα ἐγὼ ποιῶ καὶ οὐ δυνήσομαι καταβῆναι μήποτε καταπαύσῃ τὸ ἔργον ὡς ἂν τελειώσω αὐτό καταβήσομαι πρὸς ὑμᾶς 
6:4	καὶ ἀπέστειλαν πρός με ὡς τὸ ῥῆμα τοῦτο καὶ ἀπέστειλα αὐτοῖς κατὰ ταῦτα 
6:5	καὶ ἀπέστειλεν πρός με Σαναβαλλατ τὸν παῖδα αὐτοῦ καὶ ἐπιστολὴν ἀνεῳγμένην ἐν χειρὶ αὐτοῦ 
6:6	καὶ ἦν γεγραμμένον ἐν αὐτῇ ἐν ἔθνεσιν ἠκούσθη ὅτι σὺ καὶ οἱ Ιουδαῖοι λογίζεσθε ἀποστατῆσαι διὰ τοῦτο σὺ οἰκοδομεῖς τὸ τεῖχος καὶ σὺ γίνῃ αὐτοῖς εἰς βασιλέα 
6:7	καὶ πρὸς τούτοις προφήτας ἔστησας σεαυτῷ ἵνα καθίσῃς ἐν Ιερουσαλημ εἰς βασιλέα ἐν Ιουδα καὶ νῦν ἀπαγγελήσονται τῷ βασιλεῖ οἱ λόγοι οὗτοι καὶ νῦν δεῦρο βουλευσώμεθα ἐπὶ τὸ αὐτό 
6:8	καὶ ἀπέστειλα πρὸς αὐτὸν λέγων οὐκ ἐγενήθη ὡς οἱ λόγοι οὗτοι οὓς σὺ λέγεις ὅτι ἀπὸ καρδίας σου σὺ ψεύδῃ αὐτούς 
6:9	ὅτι πάντες φοβερίζουσιν ἡμᾶς λέγοντες ἐκλυθήσονται αἱ χεῖρες αὐτῶν ἀπὸ τοῦ ἔργου τούτου καὶ οὐ ποιηθήσεται καὶ νῦν ἐκραταίωσα τὰς χεῖράς μου 
6:10	καὶ ἐγὼ εἰσῆλθον εἰς οἶκον Σεμεϊ υἱοῦ Δαλαια υἱοῦ Μεηταβηλ καὶ αὐτὸς συνεχόμενος καὶ εἶπεν συναχθῶμεν εἰς οἶκον τοῦ θεοῦ ἐν μέσῳ αὐτοῦ καὶ κλείσωμεν τὰς θύρας αὐτοῦ ὅτι ἔρχονται νυκτὸς φονεῦσαί σε 
6:11	καὶ εἶπα τίς ἐστιν ὁ ἀνήρ ὃς εἰσελεύσεται εἰς τὸν οἶκον καὶ ζήσεται 
6:12	καὶ ἐπέγνων καὶ ἰδοὺ ὁ θεὸς οὐκ ἀπέστειλεν αὐτόν ὅτι ἡ προφητεία λόγος κατ᾽ ἐμοῦ καὶ Τωβιας καὶ Σαναβαλλατ ἐμισθώσαντο 
6:13	ἐπ᾽ ἐμὲ ὄχλον ὅπως φοβηθῶ καὶ ποιήσω οὕτως καὶ ἁμάρτω καὶ γένωμαι αὐτοῖς εἰς ὄνομα πονηρόν ὅπως ὀνειδίσωσίν με 
6:14	μνήσθητι ὁ θεός τῷ Τωβια καὶ τῷ Σαναβαλλατ ὡς τὰ ποιήματα αὐτοῦ ταῦτα καὶ τῷ Νωαδια τῷ προφήτῃ καὶ τοῖς καταλοίποις τῶν προφητῶν οἳ ἦσαν φοβερίζοντές με 
6:15	καὶ ἐτελέσθη τὸ τεῖχος πέμπτῃ καὶ εἰκάδι τοῦ Ελουλ εἰς πεντήκοντα καὶ δύο ἡμέρας 
6:16	καὶ ἐγένετο ἡνίκα ἤκουσαν πάντες οἱ ἐχθροὶ ἡμῶν καὶ ἐφοβήθησαν πάντα τὰ ἔθνη τὰ κύκλῳ ἡμῶν καὶ ἐπέπεσεν φόβος σφόδρα ἐν ὀφθαλμοῖς αὐτῶν καὶ ἔγνωσαν ὅτι παρὰ τοῦ θεοῦ ἡμῶν ἐγενήθη τελειωθῆναι τὸ ἔργον τοῦτο 
6:17	καὶ ἐν ταῖς ἡμέραις ἐκείναις ἀπὸ πολλῶν ἐντίμων Ιουδα ἐπιστολαὶ ἐπορεύοντο πρὸς Τωβιαν καὶ αἱ Τωβια ἤρχοντο πρὸς αὐτούς 
6:18	ὅτι πολλοὶ ἐν Ιουδα ἔνορκοι ἦσαν αὐτῷ ὅτι γαμβρὸς ἦν τοῦ Σεχενια υἱοῦ Ηραε καὶ Ιωαναν υἱὸς αὐτοῦ ἔλαβεν τὴν θυγατέρα Μεσουλαμ υἱοῦ Βαραχια εἰς γυναῖκα 
6:19	καὶ τοὺς λόγους αὐτοῦ ἦσαν λέγοντες πρός με καὶ λόγους μου ἦσαν ἐκφέροντες αὐτῷ καὶ ἐπιστολὰς ἀπέστειλεν Τωβιας φοβερίσαι με 
7:1	καὶ ἐγένετο ἡνίκα ᾠκοδομήθη τὸ τεῖχος καὶ ἔστησα τὰς θύρας καὶ ἐπεσκέπησαν οἱ πυλωροὶ καὶ οἱ ᾄδοντες καὶ οἱ Λευῖται 
7:2	καὶ ἐνετειλάμην τῷ Ανανια ἀδελφῷ μου καὶ τῷ Ανανια ἄρχοντι τῆς βιρα ἐν Ιερουσαλημ ὅτι αὐτὸς ὡς ἀνὴρ ἀληθὴς καὶ φοβούμενος τὸν θεὸν παρὰ πολλούς 
7:3	καὶ εἶπα αὐτοῖς οὐκ ἀνοιγήσονται πύλαι Ιερουσαλημ ἕως ἅμα τῷ ἡλίῳ καὶ ἔτι αὐτῶν γρηγορούντων κλειέσθωσαν αἱ θύραι καὶ σφηνούσθωσαν καὶ στῆσον προφύλακας οἰκούντων ἐν Ιερουσαλημ ἀνὴρ ἐν προφυλακῇ αὐτοῦ καὶ ἀνὴρ ἀπέναντι οἰκίας αὐτοῦ 
7:4	καὶ ἡ πόλις πλατεῖα καὶ μεγάλη καὶ ὁ λαὸς ὀλίγος ἐν αὐτῇ καὶ οὐκ ἦσαν οἰκίαι ᾠκοδομημέναι 
7:5	καὶ ἔδωκεν ὁ θεὸς εἰς τὴν καρδίαν μου καὶ συνῆξα τοὺς ἐντίμους καὶ τοὺς ἄρχοντας καὶ τὸν λαὸν εἰς συνοδίας καὶ εὗρον βιβλίον τῆς συνοδίας οἳ ἀνέβησαν ἐν πρώτοις καὶ εὗρον γεγραμμένον ἐν αὐτῷ 
7:6	καὶ οὗτοι υἱοὶ τῆς χώρας οἱ ἀναβάντες ἀπὸ αἰχμαλωσίας τῆς ἀποικίας ἧς ἀπῴκισεν Ναβουχοδονοσορ βασιλεὺς Βαβυλῶνος καὶ ἐπέστρεψαν εἰς Ιερουσαλημ καὶ εἰς Ιουδα ἀνὴρ εἰς τὴν πόλιν αὐτοῦ 
7:7	μετὰ Ζοροβαβελ καὶ Ἰησοῦ καὶ Νεεμια Αζαρια Δαεμια Ναεμανι Μαρδοχαιος Βαλσαν Μασφαραθ Εσδρα Βαγοι Ναουμ Βαανα Μασφαρ ἄνδρες λαοῦ Ισραηλ 
7:8	υἱοὶ Φορος δισχίλιοι ἑκατὸν ἑβδομήκοντα δύο 
7:9	υἱοὶ Σαφατια τριακόσιοι ἑβδομήκοντα δύο 
7:10	υἱοὶ Ηρα ἑξακόσιοι πεντήκοντα δύο 
7:11	υἱοὶ Φααθμωαβ τοῖς υἱοῖς Ἰησοῦ καὶ Ιωαβ δισχίλιοι ὀκτακόσιοι δέκα ὀκτώ 
7:12	υἱοὶ Αιλαμ χίλιοι διακόσιοι πεντήκοντα τέσσαρες 
7:13	υἱοὶ Ζαθουα ὀκτακόσιοι τεσσαράκοντα πέντε 
7:14	υἱοὶ Ζακχου ἑπτακόσιοι ἑξήκοντα 
7:15	υἱοὶ Βανουι ἑξακόσιοι τεσσαράκοντα ὀκτώ 
7:16	υἱοὶ Βηβι ἑξακόσιοι εἴκοσι ὀκτώ 
7:17	υἱοὶ Ασγαδ δισχίλιοι τριακόσιοι εἴκοσι δύο 
7:18	υἱοὶ Αδενικαμ ἑξακόσιοι ἑξήκοντα ἑπτά 
7:19	υἱοὶ Βαγοι δισχίλιοι ἑξήκοντα ἑπτά 
7:20	υἱοὶ Ηδιν ἑξακόσιοι πεντήκοντα πέντε 
7:21	υἱοὶ Ατηρ τῷ Εζεκια ἐνενήκοντα ὀκτώ 
7:22	υἱοὶ Ησαμ τριακόσιοι εἴκοσι ὀκτώ 
7:23	υἱοὶ Βεσι τριακόσιοι εἴκοσι τέσσαρες 
7:24	υἱοὶ Αριφ ἑκατὸν δώδεκα 
7:25	υἱοὶ Γαβαων ἐνενήκοντα πέντε 
7:26	υἱοὶ Βαιθλεεμ ἑκατὸν εἴκοσι τρεῖς υἱοὶ Νετωφα πεντήκοντα ἕξ 
7:27	υἱοὶ Αναθωθ ἑκατὸν εἴκοσι ὀκτώ 
7:28	ἄνδρες Βηθασμωθ τεσσαράκοντα δύο 
7:29	ἄνδρες Καριαθιαριμ Καφιρα καὶ Βηρωθ ἑπτακόσιοι τεσσαράκοντα τρεῖς 
7:30	ἄνδρες Αραμα καὶ Γαβαα ἑξακόσιοι εἴκοσι εἷς 
7:31	ἄνδρες Μαχεμας ἑκατὸν εἴκοσι δύο 
7:32	ἄνδρες Βηθηλ καὶ Αια ἑκατὸν εἴκοσι τρεῖς 
7:33	ἄνδρες Ναβι-ααρ πεντήκοντα δύο 
7:34	ἄνδρες Ηλαμ-ααρ χίλιοι διακόσιοι πεντήκοντα τέσσαρες 
7:35	υἱοὶ Ηραμ τριακόσιοι εἴκοσι 
7:36	υἱοὶ Ιεριχω τριακόσιοι τεσσαράκοντα πέντε 
7:37	υἱοὶ Λοδ Αδιδ καὶ Ωνω ἑπτακόσιοι εἴκοσι εἷς 
7:38	υἱοὶ Σαναα τρισχίλιοι ἐννακόσιοι τριάκοντα 
7:39	οἱ ἱερεῖς υἱοὶ Ιωδαε εἰς οἶκον Ἰησοῦ ἐννακόσιοι ἑβδομήκοντα τρεῖς 
7:40	υἱοὶ Εμμηρ χίλιοι πεντήκοντα δύο 
7:41	υἱοὶ Φασσουρ χίλιοι διακόσιοι τεσσαράκοντα ἑπτά 
7:42	υἱοὶ Ηραμ χίλιοι δέκα ἑπτά 
7:43	οἱ Λευῖται υἱοὶ Ἰησοῦ τῷ Καδμιηλ τοῖς υἱοῖς τοῦ Ουδουια ἑβδομήκοντα τέσσαρες 
7:44	οἱ ᾄδοντες υἱοὶ Ασαφ ἑκατὸν τεσσαράκοντα ὀκτώ 
7:45	οἱ πυλωροί υἱοὶ Σαλουμ υἱοὶ Ατηρ υἱοὶ Τελμων υἱοὶ Ακουβ υἱοὶ Ατιτα υἱοὶ Σαβι ἑκατὸν τριάκοντα ὀκτώ 
7:46	οἱ ναθινιμ υἱοὶ Σηα υἱοὶ Ασιφα υἱοὶ Ταβαωθ 
7:47	υἱοὶ Κιρας υἱοὶ Σουια υἱοὶ Φαδων 
7:48	υἱοὶ Λαβανα υἱοὶ Αγαβα υἱοὶ Σαλαμι 
7:49	υἱοὶ Αναν υἱοὶ Γαδηλ υἱοὶ Γααρ 
7:50	υἱοὶ Ρααια υἱοὶ Ρασων υἱοὶ Νεκωδα 
7:51	υἱοὶ Γηζαμ υἱοὶ Οζι υἱοὶ Φεση 
7:52	υἱοὶ Βησι υἱοὶ Μεϊνωμ υἱοὶ Νεφωσασιμ 
7:53	υἱοὶ Βακβουκ υἱοὶ Αχιφα υἱοὶ Αρουρ 
7:54	υἱοὶ Βασαλωθ υἱοὶ Μεϊδα υἱοὶ Αδασαν 
7:55	υἱοὶ Βαρκους υἱοὶ Σισαρα υἱοὶ Θημα 
7:56	υἱοὶ Νισια υἱοὶ Ατιφα 
7:57	υἱοὶ δούλων Σαλωμων υἱοὶ Σουτι υἱοὶ Σαφαραθ υἱοὶ Φεριδα 
7:58	υἱοὶ Ιεαλη υἱοὶ Δορκων υἱοὶ Γαδηλ 
7:59	υἱοὶ Σαφατια υἱοὶ Ετηλ υἱοὶ Φαχαραθ υἱοὶ Σαβαϊμ υἱοὶ Ημιμ 
7:60	πάντες οἱ ναθινιμ καὶ υἱοὶ δούλων Σαλωμων τριακόσιοι ἐνενήκοντα δύο 
7:61	καὶ οὗτοι ἀνέβησαν ἀπὸ Θελμελεθ Αρησα Χαρουβ Ηρων Ιεμηρ καὶ οὐκ ἠδυνάσθησαν ἀπαγγεῖλαι οἴκους πατριῶν αὐτῶν καὶ σπέρμα αὐτῶν εἰ ἀπὸ Ισραηλ εἰσίν 
7:62	υἱοὶ Δαλαια υἱοὶ Τωβια υἱοὶ Νεκωδα ἑξακόσιοι τεσσαράκοντα δύο 
7:63	καὶ ἀπὸ τῶν ἱερέων υἱοὶ Εβια υἱοὶ Ακως υἱοὶ Βερζελλι ὅτι ἔλαβεν ἀπὸ θυγατέρων Βερζελλι τοῦ Γαλααδίτου γυναῖκας καὶ ἐκλήθη ἐπ᾽ ὀνόματι αὐτῶν 
7:64	οὗτοι ἐζήτησαν γραφὴν αὐτῶν τῆς συνοδίας καὶ οὐχ εὑρέθη καὶ ἠγχιστεύθησαν ἀπὸ τῆς ἱερατείας 
7:65	καὶ εἶπεν Αθερσαθα ἵνα μὴ φάγωσιν ἀπὸ τοῦ ἁγίου τῶν ἁγίων ἕως ἀναστῇ ὁ ἱερεὺς φωτίσων 
7:66	καὶ ἐγένετο πᾶσα ἡ ἐκκλησία ὡς εἷς τέσσαρες μυριάδες δισχίλιοι τριακόσιοι ἑξήκοντα 
7:67	πάρεξ δούλων αὐτῶν καὶ παιδισκῶν αὐτῶν οὗτοι ἑπτακισχίλιοι τριακόσιοι τριάκοντα ἑπτά καὶ ᾄδοντες καὶ ᾄδουσαι διακόσιοι τεσσαράκοντα πέντε 
7:68	ἵπποι ἑπτακόσιοι τριάκοντα ἕξ ἡμίονοι διακόσιοι τεσσαράκοντα πέντε 
7:69	κάμηλοι τετρακόσιοι τριάκοντα πέντε ὄνοι ἑξακισχίλιοι ἑπτακόσιοι εἴκοσι 
7:70	καὶ ἀπὸ μέρους ἀρχηγῶν τῶν πατριῶν ἔδωκαν εἰς τὸ ἔργον τῷ Νεεμια εἰς θησαυρὸν χρυσοῦς χιλίους φιάλας πεντήκοντα καὶ χοθωνωθ τῶν ἱερέων τριάκοντα 
7:71	καὶ ἀπὸ ἀρχηγῶν τῶν πατριῶν ἔδωκαν εἰς θησαυρὸν τοῦ ἔργου χρυσίου δύο μυριάδας καὶ ἀργυρίου μνᾶς δισχιλίας διακοσίας 
7:72	καὶ ἔδωκαν οἱ κατάλοιποι τοῦ λαοῦ χρυσίου δύο μυριάδας καὶ ἀργυρίου μνᾶς δισχιλίας διακοσίας καὶ χοθωνωθ τῶν ἱερέων ἑξήκοντα ἑπτά 
7:73	καὶ ἐκάθισαν οἱ ἱερεῖς καὶ οἱ Λευῖται καὶ οἱ πυλωροὶ καὶ οἱ ᾄδοντες καὶ οἱ ἀπὸ τοῦ λαοῦ καὶ οἱ ναθινιμ καὶ πᾶς Ισραηλ ἐν πόλεσιν αὐτῶν καὶ ἔφθασεν ὁ μὴν ὁ ἕβδομος καὶ οἱ υἱοὶ Ισραηλ ἐν πόλεσιν αὐτῶν 
8:1	καὶ συνήχθησαν πᾶς ὁ λαὸς ὡς ἀνὴρ εἷς εἰς τὸ πλάτος τὸ ἔμπροσθεν πύλης τοῦ ὕδατος καὶ εἶπαν τῷ Εσδρα τῷ γραμματεῖ ἐνέγκαι τὸ βιβλίον νόμου Μωυσῆ ὃν ἐνετείλατο κύριος τῷ Ισραηλ 
8:2	καὶ ἤνεγκεν Εσδρας ὁ ἱερεὺς τὸν νόμον ἐνώπιον τῆς ἐκκλησίας ἀπὸ ἀνδρὸς καὶ ἕως γυναικὸς καὶ πᾶς ὁ συνίων ἀκούειν ἐν ἡμέρᾳ μιᾷ τοῦ μηνὸς τοῦ ἑβδόμου 
8:3	καὶ ἀνέγνω ἐν αὐτῷ ἀπὸ τῆς ὥρας τοῦ διαφωτίσαι τὸν ἥλιον ἕως ἡμίσους τῆς ἡμέρας ἀπέναντι τῶν ἀνδρῶν καὶ τῶν γυναικῶν καὶ αὐτοὶ συνιέντες καὶ ὦτα παντὸς τοῦ λαοῦ εἰς τὸ βιβλίον τοῦ νόμου 
8:4	καὶ ἔστη Εσδρας ὁ γραμματεὺς ἐπὶ βήματος ξυλίνου καὶ ἔστησαν ἐχόμενα αὐτοῦ Ματταθιας καὶ Σαμαιας καὶ Ανανιας καὶ Ουρια καὶ Ελκια καὶ Μαασαια ἐκ δεξιῶν αὐτοῦ καὶ ἐξ ἀριστερῶν Φαδαιας καὶ Μισαηλ καὶ Μελχιας καὶ Ωσαμ καὶ Ασαβδανα καὶ Ζαχαριας καὶ Μοσολλαμ 
8:5	καὶ ἤνοιξεν Εσδρας τὸ βιβλίον ἐνώπιον παντὸς τοῦ λαοῦ ὅτι αὐτὸς ἦν ἐπάνω τοῦ λαοῦ καὶ ἐγένετο ἡνίκα ἤνοιξεν αὐτό ἔστη πᾶς ὁ λαός 
8:6	καὶ ηὐλόγησεν Εσδρας κύριον τὸν θεὸν τὸν μέγαν καὶ ἀπεκρίθη πᾶς ὁ λαὸς καὶ εἶπαν αμην ἐπάραντες χεῖρας αὐτῶν καὶ ἔκυψαν καὶ προσεκύνησαν τῷ κυρίῳ ἐπὶ πρόσωπον ἐπὶ τὴν γῆν 
8:7	καὶ Ἰησοῦς καὶ Βαναιας καὶ Σαραβια ἦσαν συνετίζοντες τὸν λαὸν εἰς τὸν νόμον καὶ ὁ λαὸς ἐν τῇ στάσει αὐτοῦ 
8:8	καὶ ἀνέγνωσαν ἐν βιβλίῳ νόμου τοῦ θεοῦ καὶ ἐδίδασκεν Εσδρας καὶ διέστελλεν ἐν ἐπιστήμῃ κυρίου καὶ συνῆκεν ὁ λαὸς ἐν τῇ ἀναγνώσει 
8:9	καὶ εἶπεν Νεεμιας καὶ Εσδρας ὁ ἱερεὺς καὶ γραμματεὺς καὶ οἱ Λευῖται οἱ συνετίζοντες τὸν λαὸν καὶ εἶπαν παντὶ τῷ λαῷ ἡ ἡμέρα ἁγία ἐστὶν τῷ κυρίῳ θεῷ ἡμῶν μὴ πενθεῖτε μηδὲ κλαίετε ὅτι ἔκλαιεν πᾶς ὁ λαός ὡς ἤκουσαν τοὺς λόγους τοῦ νόμου 
8:10	καὶ εἶπεν αὐτοῖς πορεύεσθε φάγετε λιπάσματα καὶ πίετε γλυκάσματα καὶ ἀποστείλατε μερίδας τοῖς μὴ ἔχουσιν ὅτι ἁγία ἐστὶν ἡ ἡμέρα τῷ κυρίῳ ἡμῶν καὶ μὴ διαπέσητε ὅτι ἐστὶν ἰσχὺς ὑμῶν 
8:11	καὶ οἱ Λευῖται κατεσιώπων πάντα τὸν λαὸν λέγοντες σιωπᾶτε ὅτι ἡ ἡμέρα ἁγία καὶ μὴ καταπίπτετε 
8:12	καὶ ἀπῆλθεν πᾶς ὁ λαὸς φαγεῖν καὶ πιεῖν καὶ ἀποστέλλειν μερίδας καὶ ποιῆσαι εὐφροσύνην μεγάλην ὅτι συνῆκαν ἐν τοῖς λόγοις οἷς ἐγνώρισεν αὐτοῖς 
8:13	καὶ ἐν τῇ ἡμέρᾳ τῇ δευτέρᾳ συνήχθησαν οἱ ἄρχοντες τῶν πατριῶν τῷ παντὶ λαῷ οἱ ἱερεῖς καὶ οἱ Λευῖται πρὸς Εσδραν τὸν γραμματέα ἐπιστῆσαι πρὸς πάντας τοὺς λόγους τοῦ νόμου 
8:14	καὶ εὕροσαν γεγραμμένον ἐν τῷ νόμῳ ᾧ ἐνετείλατο κύριος τῷ Μωυσῇ ὅπως κατοικήσωσιν οἱ υἱοὶ Ισραηλ ἐν σκηναῖς ἐν ἑορτῇ ἐν μηνὶ τῷ ἑβδόμῳ 
8:15	καὶ ὅπως σημάνωσιν σάλπιγξιν ἐν πάσαις ταῖς πόλεσιν αὐτῶν καὶ ἐν Ιερουσαλημ καὶ εἶπεν Εσδρας ἐξέλθετε εἰς τὸ ὄρος καὶ ἐνέγκετε φύλλα ἐλαίας καὶ φύλλα ξύλων κυπαρισσίνων καὶ φύλλα μυρσίνης καὶ φύλλα φοινίκων καὶ φύλλα ξύλου δασέος ποιῆσαι σκηνὰς κατὰ τὸ γεγραμμένον 
8:16	καὶ ἐξῆλθεν ὁ λαὸς καὶ ἤνεγκαν καὶ ἐποίησαν ἑαυτοῖς σκηνὰς ἀνὴρ ἐπὶ τοῦ δώματος αὐτοῦ καὶ ἐν ταῖς αὐλαῖς αὐτῶν καὶ ἐν ταῖς αὐλαῖς οἴκου τοῦ θεοῦ καὶ ἐν πλατείαις τῆς πόλεως καὶ ἕως πύλης Εφραιμ 
8:17	καὶ ἐποίησαν πᾶσα ἡ ἐκκλησία οἱ ἐπιστρέψαντες ἀπὸ τῆς αἰχμαλωσίας σκηνὰς καὶ ἐκάθισαν ἐν σκηναῖς ὅτι οὐκ ἐποίησαν ἀπὸ ἡμερῶν Ἰησοῦ υἱοῦ Ναυη οὕτως οἱ υἱοὶ Ισραηλ ἕως τῆς ἡμέρας ἐκείνης καὶ ἐγένετο εὐφροσύνη μεγάλη 
8:18	καὶ ἀνέγνω ἐν βιβλίῳ νόμου τοῦ θεοῦ ἡμέραν ἐν ἡμέρᾳ ἀπὸ τῆς ἡμέρας τῆς πρώτης ἕως τῆς ἡμέρας τῆς ἐσχάτης καὶ ἐποίησαν ἑορτὴν ἑπτὰ ἡμέρας καὶ τῇ ἡμέρᾳ τῇ ὀγδόῃ ἐξόδιον κατὰ τὸ κρίμα 
9:1	καὶ ἐν ἡμέρᾳ εἰκοστῇ καὶ τετάρτῃ τοῦ μηνὸς τούτου συνήχθησαν οἱ υἱοὶ Ισραηλ ἐν νηστείᾳ καὶ ἐν σάκκοις 
9:2	καὶ ἐχωρίσθησαν οἱ υἱοὶ Ισραηλ ἀπὸ παντὸς υἱοῦ ἀλλοτρίου καὶ ἔστησαν καὶ ἐξηγόρευσαν τὰς ἁμαρτίας αὐτῶν καὶ τὰς ἀνομίας τῶν πατέρων αὐτῶν 
9:3	καὶ ἔστησαν ἐπὶ στάσει αὐτῶν καὶ ἀνέγνωσαν ἐν βιβλίῳ νόμου κυρίου θεοῦ αὐτῶν καὶ ἦσαν ἐξαγορεύοντες τῷ κυρίῳ καὶ προσκυνοῦντες τῷ κυρίῳ θεῷ αὐτῶν 
9:4	καὶ ἔστη ἐπὶ ἀναβάσει τῶν Λευιτῶν Ἰησοῦς καὶ υἱοὶ Καδμιηλ Σαχανια υἱὸς Σαραβια υἱοὶ Χανανι καὶ ἐβόησαν φωνῇ μεγάλῃ πρὸς κύριον τὸν θεὸν αὐτῶν 
9:5	καὶ εἴποσαν οἱ Λευῖται Ἰησοῦς καὶ Καδμιηλ ἀνάστητε εὐλογεῖτε τὸν κύριον θεὸν ὑμῶν ἀπὸ τοῦ αἰῶνος καὶ ἕως τοῦ αἰῶνος καὶ εὐλογήσουσιν ὄνομα δόξης σου καὶ ὑψώσουσιν ἐπὶ πάσῃ εὐλογίᾳ καὶ αἰνέσει 
