‎Genesis 
1:1	ἐν ἀρχῇ ἐποίησεν ὁ θεὸς τὸν οὐρανὸν καὶ τὴν γῆν 
6:6	2καὶ τῆς πλημμελείας αὐτοῦ οἴσει τῷ κυρίῳ κριὸν ἀπὸ τῶν προβάτων ἄμωμον τιμῆς εἰς ὃ ἐπλημμέλησεν αὐτῷ 
6:7	2καὶ ἐξιλάσεται περὶ αὐτοῦ ὁ ἱερεὺς ἔναντι κυρίου καὶ ἀφεθήσεται αὐτῷ περὶ ἑνὸς ἀπὸ πάντων ὧν ἐποίησεν καὶ ἐπλημμέλησεν αὐτῷ 
6:8	καὶ ἐλάλησεν κύριος πρὸς Μωυσῆν λέγων 
6:9	ἔντειλαι Ααρων καὶ τοῖς υἱοῖς αὐτοῦ λέγων οὗτος ὁ νόμος τῆς ὁλοκαυτώσεως αὐτὴ ἡ ὁλοκαύτωσις ἐπὶ τῆς καύσεως αὐτῆς ἐπὶ τοῦ θυσιαστηρίου ὅλην τὴν νύκτα ἕως τὸ πρωί καὶ τὸ πῦρ τοῦ θυσιαστηρίου καυθήσεται ἐπ᾽ αὐτοῦ οὐ σβεσθήσεται 
6:10	καὶ ἐνδύσεται ὁ ἱερεὺς χιτῶνα λινοῦν καὶ περισκελὲς λινοῦν ἐνδύσεται περὶ τὸ σῶμα αὐτοῦ καὶ ἀφελεῖ τὴν κατακάρπωσιν ἣν ἂν καταναλώσῃ τὸ πῦρ τὴν ὁλοκαύτωσιν ἀπὸ τοῦ θυσιαστηρίου καὶ παραθήσει αὐτὸ ἐχόμενον τοῦ θυσιαστηρίου 
6:11	καὶ ἐκδύσεται τὴν στολὴν αὐτοῦ καὶ ἐνδύσεται στολὴν ἄλλην καὶ ἐξοίσει τὴν κατακάρπωσιν ἔξω τῆς παρεμβολῆς εἰς τόπον καθαρόν 
6:12	καὶ πῦρ ἐπὶ τὸ θυσιαστήριον καυθήσεται ἀπ᾽ αὐτοῦ καὶ οὐ σβεσθήσεται καὶ καύσει ὁ ἱερεὺς ἐπ᾽ αὐτὸ ξύλα τὸ πρωὶ καὶ στοιβάσει ἐπ᾽ αὐτοῦ τὴν ὁλοκαύτωσιν καὶ ἐπιθήσει ἐπ᾽ αὐτὸ τὸ στέαρ τοῦ σωτηρίου 
6:13	καὶ πῦρ διὰ παντὸς καυθήσεται ἐπὶ τὸ θυσιαστήριον οὐ σβεσθήσεται 
6:14	οὗτος ὁ νόμος τῆς θυσίας ἣν προσάξουσιν αὐτὴν οἱ υἱοὶ Ααρων ἔναντι κυρίου ἀπέναντι τοῦ θυσιαστηρίου 
6:15	καὶ ἀφελεῖ ἀπ᾽ αὐτοῦ τῇ δρακὶ ἀπὸ τῆς σεμιδάλεως τῆς θυσίας σὺν τῷ ἐλαίῳ αὐτῆς καὶ σὺν τῷ λιβάνῳ αὐτῆς τὰ ὄντα ἐπὶ τῆς θυσίας καὶ ἀνοίσει ἐπὶ τὸ θυσιαστήριον κάρπωμα ὀσμὴ εὐωδίας τὸ μνημόσυνον αὐτῆς τῷ κυρίῳ 
6:16	τὸ δὲ καταλειφθὲν ἀπ᾽ αὐτῆς ἔδεται Ααρων καὶ οἱ υἱοὶ αὐτοῦ ἄζυμα βρωθήσεται ἐν τόπῳ ἁγίῳ ἐν αὐλῇ τῆς σκηνῆς τοῦ μαρτυρίου ἔδονται αὐτήν 
6:17	οὐ πεφθήσεται ἐζυμωμένη μερίδα αὐτὴν ἔδωκα αὐτοῖς ἀπὸ τῶν καρπωμάτων κυρίου ἅγια ἁγίων ὥσπερ τὸ τῆς ἁμαρτίας καὶ ὥσπερ τὸ τῆς πλημμελείας 
6:18	πᾶν ἀρσενικὸν τῶν ἱερέων ἔδονται αὐτήν νόμιμον αἰώνιον εἰς τὰς γενεὰς ὑμῶν ἀπὸ τῶν καρπωμάτων κυρίου πᾶς ὃς ἐὰν ἅψηται αὐτῶν ἁγιασθήσεται 
6:19	καὶ ἐλάλησεν κύριος πρὸς Μωυσῆν λέγων 
6:20	τοῦτο τὸ δῶρον Ααρων καὶ τῶν υἱῶν αὐτοῦ ὃ προσοίσουσιν κυρίῳ ἐν τῇ ἡμέρᾳ ᾗ ἂν χρίσῃς αὐτόν τὸ δέκατον τοῦ οιφι σεμιδάλεως εἰς θυσίαν διὰ παντός τὸ ἥμισυ αὐτῆς τὸ πρωὶ καὶ τὸ ἥμισυ αὐτῆς τὸ δειλινόν 
6:21	ἐπὶ τηγάνου ἐν ἐλαίῳ ποιηθήσεται πεφυραμένην οἴσει αὐτήν ἑλικτά θυσίαν ἐκ κλασμάτων θυσίαν ὀσμὴν εὐωδίας κυρίῳ 
6:22	ὁ ἱερεὺς ὁ χριστὸς ἀντ᾽ αὐτοῦ ἐκ τῶν υἱῶν αὐτοῦ ποιήσει αὐτήν νόμος αἰώνιος ἅπαν ἐπιτελεσθήσεται 
6:23	καὶ πᾶσα θυσία ἱερέως ὁλόκαυτος ἔσται καὶ οὐ βρωθήσεται 
6:24	καὶ ἐλάλησεν κύριος πρὸς Μωυσῆν λέγων 
6:25	λάλησον Ααρων καὶ τοῖς υἱοῖς αὐτοῦ λέγων οὗτος ὁ νόμος τῆς ἁμαρτίας ἐν τόπῳ οὗ σφάζουσιν τὸ ὁλοκαύτωμα σφάξουσιν τὰ περὶ τῆς ἁμαρτίας ἔναντι κυρίου ἅγια ἁγίων ἐστίν 
6:26	ὁ ἱερεὺς ὁ ἀναφέρων αὐτὴν ἔδεται αὐτήν ἐν τόπῳ ἁγίῳ βρωθήσεται ἐν αὐλῇ τῆς σκηνῆς τοῦ μαρτυρίου 
6:27	πᾶς ὁ ἁπτόμενος τῶν κρεῶν αὐτῆς ἁγιασθήσεται καὶ ᾧ ἐὰν ἐπιρραντισθῇ ἀπὸ τοῦ αἵματος αὐτῆς ἐπὶ τὸ ἱμάτιον ὃ ἐὰν ῥαντισθῇ ἐπ᾽ αὐτὸ πλυθήσεται ἐν τόπῳ ἁγίῳ 
6:28	καὶ σκεῦος ὀστράκινον οὗ ἐὰν ἑψηθῇ ἐν αὐτῷ συντριβήσεται ἐὰν δὲ ἐν σκεύει χαλκῷ ἑψηθῇ ἐκτρίψει αὐτὸ καὶ ἐκκλύσει ὕδατι 
6:29	πᾶς ἄρσην ἐν τοῖς ἱερεῦσιν φάγεται αὐτά ἅγια ἁγίων ἐστὶν κυρίου 
6:30	καὶ πάντα τὰ περὶ τῆς ἁμαρτίας ὧν ἐὰν εἰσενεχθῇ ἀπὸ τοῦ αἵματος αὐτῶν εἰς τὴν σκηνὴν τοῦ μαρτυρίου ἐξιλάσασθαι ἐν τῷ ἁγίῳ οὐ βρωθήσεται ἐν πυρὶ κατακαυθήσεται 
7:1	καὶ οὗτος ὁ νόμος τοῦ κριοῦ τοῦ περὶ τῆς πλημμελείας ἅγια ἁγίων ἐστίν 
7:2	ἐν τόπῳ οὗ σφάζουσιν τὸ ὁλοκαύτωμα σφάξουσιν τὸν κριὸν τῆς πλημμελείας ἔναντι κυρίου καὶ τὸ αἷμα προσχεεῖ ἐπὶ τὴν βάσιν τοῦ θυσιαστηρίου κύκλῳ 
7:3	καὶ πᾶν τὸ στέαρ αὐτοῦ προσοίσει ἀπ᾽ αὐτοῦ καὶ τὴν ὀσφὺν καὶ πᾶν τὸ στέαρ τὸ κατακαλύπτον τὰ ἐνδόσθια καὶ πᾶν τὸ στέαρ τὸ ἐπὶ τῶν ἐνδοσθίων 
7:4	καὶ τοὺς δύο νεφροὺς καὶ τὸ στέαρ τὸ ἐπ᾽ αὐτῶν τὸ ἐπὶ τῶν μηρίων καὶ τὸν λοβὸν τὸν ἐπὶ τοῦ ἥπατος σὺν τοῖς νεφροῖς περιελεῖ αὐτά 
7:5	καὶ ἀνοίσει αὐτὰ ὁ ἱερεὺς ἐπὶ τὸ θυσιαστήριον κάρπωμα τῷ κυρίῳ περὶ πλημμελείας ἐστίν 
7:6	πᾶς ἄρσην ἐκ τῶν ἱερέων ἔδεται αὐτά ἐν τόπῳ ἁγίῳ ἔδονται αὐτά ἅγια ἁγίων ἐστίν 
7:7	ὥσπερ τὸ περὶ τῆς ἁμαρτίας οὕτω καὶ τὸ τῆς πλημμελείας νόμος εἷς αὐτῶν ὁ ἱερεύς ὅστις ἐξιλάσεται ἐν αὐτῷ αὐτῷ ἔσται 
7:8	καὶ ὁ ἱερεὺς ὁ προσάγων ὁλοκαύτωμα ἀνθρώπου τὸ δέρμα τῆς ὁλοκαυτώσεως ἧς αὐτὸς προσφέρει αὐτῷ ἔσται 
7:9	καὶ πᾶσα θυσία ἥτις ποιηθήσεται ἐν τῷ κλιβάνῳ καὶ πᾶσα ἥτις ποιηθήσεται ἐπ᾽ ἐσχάρας ἢ ἐπὶ τηγάνου τοῦ ἱερέως τοῦ προσφέροντος αὐτήν αὐτῷ ἔσται 
7:10	καὶ πᾶσα θυσία ἀναπεποιημένη ἐν ἐλαίῳ καὶ μὴ ἀναπεποιημένη πᾶσι τοῖς υἱοῖς Ααρων ἔσται ἑκάστῳ τὸ ἴσον 
7:11	οὗτος ὁ νόμος θυσίας σωτηρίου ἣν προσοίσουσιν κυρίῳ 
7:12	ἐὰν μὲν περὶ αἰνέσεως προσφέρῃ αὐτήν καὶ προσοίσει ἐπὶ τῆς θυσίας τῆς αἰνέσεως ἄρτους ἐκ σεμιδάλεως ἀναπεποιημένους ἐν ἐλαίῳ λάγανα ἄζυμα διακεχρισμένα ἐν ἐλαίῳ καὶ σεμίδαλιν πεφυραμένην ἐν ἐλαίῳ 
7:13	ἐπ᾽ ἄρτοις ζυμίταις προσοίσει τὰ δῶρα αὐτοῦ ἐπὶ θυσίᾳ αἰνέσεως σωτηρίου 
7:14	καὶ προσάξει ἓν ἀπὸ πάντων τῶν δώρων αὐτοῦ ἀφαίρεμα κυρίῳ τῷ ἱερεῖ τῷ προσχέοντι τὸ αἷμα τοῦ σωτηρίου αὐτῷ ἔσται 
7:15	καὶ τὰ κρέα θυσίας αἰνέσεως σωτηρίου αὐτῷ ἔσται καὶ ἐν ᾗ ἡμέρᾳ δωρεῖται βρωθήσεται οὐ καταλείψουσιν ἀπ᾽ αὐτοῦ εἰς τὸ πρωί 
7:16	κἂν εὐχή ἢ ἑκούσιον θυσιάζῃ τὸ δῶρον αὐτοῦ ᾗ ἂν ἡμέρᾳ προσαγάγῃ τὴν θυσίαν αὐτοῦ βρωθήσεται καὶ τῇ αὔριον 
7:17	καὶ τὸ καταλειφθὲν ἀπὸ τῶν κρεῶν τῆς θυσίας ἕως ἡμέρας τρίτης ἐν πυρὶ κατακαυθήσεται 
7:18	ἐὰν δὲ φαγὼν φάγῃ ἀπὸ τῶν κρεῶν τῇ ἡμέρᾳ τῇ τρίτῃ οὐ δεχθήσεται αὐτῷ τῷ προσφέροντι αὐτό οὐ λογισθήσεται αὐτῷ μίασμά ἐστιν ἡ δὲ ψυχή ἥτις ἐὰν φάγῃ ἀπ᾽ αὐτοῦ τὴν ἁμαρτίαν λήμψεται 
7:19	καὶ κρέα ὅσα ἂν ἅψηται παντὸς ἀκαθάρτου οὐ βρωθήσεται ἐν πυρὶ κατακαυθήσεται πᾶς καθαρὸς φάγεται κρέα 
7:20	ἡ δὲ ψυχή ἥτις ἐὰν φάγῃ ἀπὸ τῶν κρεῶν τῆς θυσίας τοῦ σωτηρίου ὅ ἐστιν κυρίου καὶ ἡ ἀκαθαρσία αὐτοῦ ἐπ᾽ αὐτοῦ ἀπολεῖται ἡ ψυχὴ ἐκείνη ἐκ τοῦ λαοῦ αὐτῆς 
7:21	καὶ ψυχή ἣ ἂν ἅψηται παντὸς πράγματος ἀκαθάρτου ἢ ἀπὸ ἀκαθαρσίας ἀνθρώπου ἢ τῶν τετραπόδων τῶν ἀκαθάρτων ἢ παντὸς βδελύγματος ἀκαθάρτου καὶ φάγῃ ἀπὸ τῶν κρεῶν τῆς θυσίας τοῦ σωτηρίου ὅ ἐστιν κυρίου ἀπολεῖται ἡ ψυχὴ ἐκείνη ἐκ τοῦ λαοῦ αὐτῆς 
7:22	καὶ ἐλάλησεν κύριος πρὸς Μωυσῆν λέγων 
7:23	λάλησον τοῖς υἱοῖς Ισραηλ λέγων πᾶν στέαρ βοῶν καὶ προβάτων καὶ αἰγῶν οὐκ ἔδεσθε 
7:24	καὶ στέαρ θνησιμαίων καὶ θηριάλωτον ποιηθήσεται εἰς πᾶν ἔργον καὶ εἰς βρῶσιν οὐ βρωθήσεται 
7:25	πᾶς ὁ ἔσθων στέαρ ἀπὸ τῶν κτηνῶν ὧν προσάξει αὐτῶν κάρπωμα κυρίῳ ἀπολεῖται ἡ ψυχὴ ἐκείνη ἀπὸ τοῦ λαοῦ αὐτῆς 
7:26	πᾶν αἷμα οὐκ ἔδεσθε ἐν πάσῃ τῇ κατοικίᾳ ὑμῶν ἀπό τε τῶν πετεινῶν καὶ ἀπὸ τῶν κτηνῶν 
7:27	πᾶσα ψυχή ἣ ἄν φάγῃ αἷμα ἀπολεῖται ἡ ψυχὴ ἐκείνη ἀπὸ τοῦ λαοῦ αὐτῆς 
7:28	καὶ ἐλάλησεν κύριος πρὸς Μωυσῆν λέγων 
7:29	καὶ τοῖς υἱοῖς Ισραηλ λαλήσεις λέγων ὁ προσφέρων θυσίαν σωτηρίου κυρίῳ οἴσει τὸ δῶρον αὐτοῦ κυρίῳ ἀπὸ τῆς θυσίας τοῦ σωτηρίου 
7:30	αἱ χεῖρες αὐτοῦ προσοίσουσιν τὰ καρπώματα κυρίῳ τὸ στέαρ τὸ ἐπὶ τοῦ στηθυνίου καὶ τὸν λοβὸν τοῦ ἥπατος προσοίσει αὐτὰ ὥστε ἐπιθεῖναι δόμα ἔναντι κυρίου 
7:31	καὶ ἀνοίσει ὁ ἱερεὺς τὸ στέαρ ἐπὶ τοῦ θυσιαστηρίου καὶ ἔσται τὸ στηθύνιον Ααρων καὶ τοῖς υἱοῖς αὐτοῦ 
7:32	καὶ τὸν βραχίονα τὸν δεξιὸν δώσετε ἀφαίρεμα τῷ ἱερεῖ ἀπὸ τῶν θυσιῶν τοῦ σωτηρίου ὑμῶν 
7:33	ὁ προσφέρων τὸ αἷμα τοῦ σωτηρίου καὶ τὸ στέαρ ἀπὸ τῶν υἱῶν Ααρων αὐτῷ ἔσται ὁ βραχίων ὁ δεξιὸς ἐν μερίδι 
7:34	τὸ γὰρ στηθύνιον τοῦ ἐπιθέματος καὶ τὸν βραχίονα τοῦ ἀφαιρέματος εἴληφα παρὰ τῶν υἱῶν Ισραηλ ἀπὸ τῶν θυσιῶν τοῦ σωτηρίου ὑμῶν καὶ ἔδωκα αὐτὰ Ααρων τῷ ἱερεῖ καὶ τοῖς υἱοῖς αὐτοῦ νόμιμον αἰώνιον παρὰ τῶν υἱῶν Ισραηλ 
7:35	αὕτη ἡ χρῖσις Ααρων καὶ ἡ χρῖσις τῶν υἱῶν αὐτοῦ ἀπὸ τῶν καρπωμάτων κυρίου ἐν ᾗ ἡμέρᾳ προσηγάγετο αὐτοὺς τοῦ ἱερατεύειν τῷ κυρίῳ 
7:36	καθὰ ἐνετείλατο κύριος δοῦναι αὐτοῖς ᾗ ἡμέρᾳ ἔχρισεν αὐτούς παρὰ τῶν υἱῶν Ισραηλ νόμιμον αἰώνιον εἰς τὰς γενεὰς αὐτῶν 
7:37	οὗτος ὁ νόμος τῶν ὁλοκαυτωμάτων καὶ θυσίας καὶ περὶ ἁμαρτίας καὶ τῆς πλημμελείας καὶ τῆς τελειώσεως καὶ τῆς θυσίας τοῦ σωτηρίου 
7:38	ὃν τρόπον ἐνετείλατο κύριος τῷ Μωυσῇ ἐν τῷ ὄρει Σινα ᾗ ἡμέρᾳ ἐνετείλατο τοῖς υἱοῖς Ισραηλ προσφέρειν τὰ δῶρα αὐτῶν ἔναντι κυρίου ἐν τῇ ἐρήμῳ Σινα 
8:1	καὶ ἐλάλησεν κύριος πρὸς Μωυσῆν λέγων 
8:2	λαβὲ Ααρων καὶ τοὺς υἱοὺς αὐτοῦ καὶ τὰς στολὰς αὐτοῦ καὶ τὸ ἔλαιον τῆς χρίσεως καὶ τὸν μόσχον τὸν περὶ τῆς ἁμαρτίας καὶ τοὺς δύο κριοὺς καὶ τὸ κανοῦν τῶν ἀζύμων 
8:3	καὶ πᾶσαν τὴν συναγωγὴν ἐκκλησίασον ἐπὶ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου 
8:4	καὶ ἐποίησεν Μωυσῆς ὃν τρόπον συνέταξεν αὐτῷ κύριος καὶ ἐξεκκλησίασεν τὴν συναγωγὴν ἐπὶ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου 
8:5	καὶ εἶπεν Μωυσῆς τῇ συναγωγῇ τοῦτό ἐστιν τὸ ῥῆμα ὃ ἐνετείλατο κύριος ποιῆσαι 
8:6	καὶ προσήνεγκεν Μωυσῆς τὸν Ααρων καὶ τοὺς υἱοὺς αὐτοῦ καὶ ἔλουσεν αὐτοὺς ὕδατι 
8:7	καὶ ἐνέδυσεν αὐτὸν τὸν χιτῶνα καὶ ἔζωσεν αὐτὸν τὴν ζώνην καὶ ἐνέδυσεν αὐτὸν τὸν ὑποδύτην καὶ ἐπέθηκεν ἐπ᾽ αὐτὸν τὴν ἐπωμίδα καὶ συνέζωσεν αὐτὸν κατὰ τὴν ποίησιν τῆς ἐπωμίδος καὶ συνέσφιγξεν αὐτὸν ἐν αὐτῇ 
8:8	καὶ ἐπέθηκεν ἐπ᾽ αὐτὴν τὸ λογεῖον καὶ ἐπέθηκεν ἐπὶ τὸ λογεῖον τὴν δήλωσιν καὶ τὴν ἀλήθειαν 
8:9	καὶ ἐπέθηκεν τὴν μίτραν ἐπὶ τὴν κεφαλὴν αὐτοῦ καὶ ἐπέθηκεν ἐπὶ τὴν μίτραν κατὰ πρόσωπον αὐτοῦ τὸ πέταλον τὸ χρυσοῦν τὸ καθηγιασμένον ἅγιον ὃν τρόπον συνέταξεν κύριος τῷ Μωυσῇ 
8:10	καὶ ἔλαβεν Μωυσῆς ἀπὸ τοῦ ἐλαίου τῆς χρίσεως 
8:11	καὶ ἔρρανεν ἀπ᾽ αὐτοῦ ἐπὶ τὸ θυσιαστήριον ἑπτάκις καὶ ἔχρισεν τὸ θυσιαστήριον καὶ ἡγίασεν αὐτὸ καὶ πάντα τὰ σκεύη αὐτοῦ καὶ τὸν λουτῆρα καὶ τὴν βάσιν αὐτοῦ καὶ ἡγίασεν αὐτά καὶ ἔχρισεν τὴν σκηνὴν καὶ πάντα τὰ ἐν αὐτῇ καὶ ἡγίασεν αὐτήν 
8:12	καὶ ἐπέχεεν Μωυσῆς ἀπὸ τοῦ ἐλαίου τῆς χρίσεως ἐπὶ τὴν κεφαλὴν Ααρων καὶ ἔχρισεν αὐτὸν καὶ ἡγίασεν αὐτόν 
8:13	καὶ προσήγαγεν Μωυσῆς τοὺς υἱοὺς Ααρων καὶ ἐνέδυσεν αὐτοὺς χιτῶνας καὶ ἔζωσεν αὐτοὺς ζώνας καὶ περιέθηκεν αὐτοῖς κιδάρεις καθάπερ συνέταξεν κύριος τῷ Μωυσῇ 
8:14	καὶ προσήγαγεν Μωυσῆς τὸν μόσχον τὸν περὶ τῆς ἁμαρτίας καὶ ἐπέθηκεν Ααρων καὶ οἱ υἱοὶ αὐτοῦ τὰς χεῖρας ἐπὶ τὴν κεφαλὴν τοῦ μόσχου τοῦ τῆς ἁμαρτίας 
8:15	καὶ ἔσφαξεν αὐτὸν καὶ ἔλαβεν Μωυσῆς ἀπὸ τοῦ αἵματος καὶ ἐπέθηκεν ἐπὶ τὰ κέρατα τοῦ θυσιαστηρίου κύκλῳ τῷ δακτύλῳ καὶ ἐκαθάρισεν τὸ θυσιαστήριον καὶ τὸ αἷμα ἐξέχεεν ἐπὶ τὴν βάσιν τοῦ θυσιαστηρίου καὶ ἡγίασεν αὐτὸ τοῦ ἐξιλάσασθαι ἐπ᾽ αὐτοῦ 
8:16	καὶ ἔλαβεν Μωυσῆς πᾶν τὸ στέαρ τὸ ἐπὶ τῶν ἐνδοσθίων καὶ τὸν λοβὸν τὸν ἐπὶ τοῦ ἥπατος καὶ ἀμφοτέρους τοὺς νεφροὺς καὶ τὸ στέαρ τὸ ἐπ᾽ αὐτῶν καὶ ἀνήνεγκεν Μωυσῆς ἐπὶ τὸ θυσιαστήριον 
8:17	καὶ τὸν μόσχον καὶ τὴν βύρσαν αὐτοῦ καὶ τὰ κρέα αὐτοῦ καὶ τὴν κόπρον αὐτοῦ καὶ κατέκαυσεν αὐτὰ πυρὶ ἔξω τῆς παρεμβολῆς ὃν τρόπον συνέταξεν κύριος τῷ Μωυσῇ 
8:18	καὶ προσήγαγεν Μωυσῆς τὸν κριὸν τὸν εἰς ὁλοκαύτωμα καὶ ἐπέθηκεν Ααρων καὶ οἱ υἱοὶ αὐτοῦ τὰς χεῖρας αὐτῶν ἐπὶ τὴν κεφαλὴν τοῦ κριοῦ 
8:19	καὶ ἔσφαξεν Μωυσῆς τὸν κριόν καὶ προσέχεεν Μωυσῆς τὸ αἷμα ἐπὶ τὸ θυσιαστήριον κύκλῳ 
8:20	καὶ τὸν κριὸν ἐκρεανόμησεν κατὰ μέλη καὶ ἀνήνεγκεν Μωυσῆς τὴν κεφαλὴν καὶ τὰ μέλη καὶ τὸ στέαρ 
8:21	καὶ τὴν κοιλίαν καὶ τοὺς πόδας ἔπλυνεν ὕδατι καὶ ἀνήνεγκεν Μωυσῆς ὅλον τὸν κριὸν ἐπὶ τὸ θυσιαστήριον ὁλοκαύτωμα ὅ ἐστιν εἰς ὀσμὴν εὐωδίας κάρπωμά ἐστιν τῷ κυρίῳ καθάπερ ἐνετείλατο κύριος τῷ Μωυσῇ 
8:22	καὶ προσήγαγεν Μωυσῆς τὸν κριὸν τὸν δεύτερον κριὸν τελειώσεως καὶ ἐπέθηκεν Ααρων καὶ οἱ υἱοὶ αὐτοῦ τὰς χεῖρας αὐτῶν ἐπὶ τὴν κεφαλὴν τοῦ κριοῦ 
8:23	καὶ ἔσφαξεν αὐτὸν καὶ ἔλαβεν Μωυσῆς ἀπὸ τοῦ αἵματος αὐτοῦ καὶ ἐπέθηκεν ἐπὶ τὸν λοβὸν τοῦ ὠτὸς Ααρων τοῦ δεξιοῦ καὶ ἐπὶ τὸ ἄκρον τῆς χειρὸς τῆς δεξιᾶς καὶ ἐπὶ τὸ ἄκρον τοῦ ποδὸς τοῦ δεξιοῦ 
8:24	καὶ προσήγαγεν Μωυσῆς τοὺς υἱοὺς Ααρων καὶ ἐπέθηκεν Μωυσῆς ἀπὸ τοῦ αἵματος ἐπὶ τοὺς λοβοὺς τῶν ὤτων τῶν δεξιῶν καὶ ἐπὶ τὰ ἄκρα τῶν χειρῶν αὐτῶν τῶν δεξιῶν καὶ ἐπὶ τὰ ἄκρα τῶν ποδῶν αὐτῶν τῶν δεξιῶν καὶ προσέχεεν Μωυσῆς τὸ αἷμα ἐπὶ τὸ θυσιαστήριον κύκλῳ 
8:25	καὶ ἔλαβεν τὸ στέαρ καὶ τὴν ὀσφὺν καὶ τὸ στέαρ τὸ ἐπὶ τῆς κοιλίας καὶ τὸν λοβὸν τοῦ ἥπατος καὶ τοὺς δύο νεφροὺς καὶ τὸ στέαρ τὸ ἐπ᾽ αὐτῶν καὶ τὸν βραχίονα τὸν δεξιόν 
8:26	καὶ ἀπὸ τοῦ κανοῦ τῆς τελειώσεως τοῦ ὄντος ἔναντι κυρίου ἔλαβεν ἄρτον ἕνα ἄζυμον καὶ ἄρτον ἐξ ἐλαίου ἕνα καὶ λάγανον ἓν καὶ ἐπέθηκεν ἐπὶ τὸ στέαρ καὶ τὸν βραχίονα τὸν δεξιόν 
8:27	καὶ ἐπέθηκεν ἅπαντα ἐπὶ τὰς χεῖρας Ααρων καὶ ἐπὶ τὰς χεῖρας τῶν υἱῶν αὐτοῦ καὶ ἀνήνεγκεν αὐτὰ ἀφαίρεμα ἔναντι κυρίου 
8:28	καὶ ἔλαβεν Μωυσῆς ἀπὸ τῶν χειρῶν αὐτῶν καὶ ἀνήνεγκεν αὐτὰ Μωυσῆς ἐπὶ τὸ θυσιαστήριον ἐπὶ τὸ ὁλοκαύτωμα τῆς τελειώσεως ὅ ἐστιν ὀσμὴ εὐωδίας κάρπωμά ἐστιν τῷ κυρίῳ 
8:29	καὶ λαβὼν Μωυσῆς τὸ στηθύνιον ἀφεῖλεν αὐτὸ ἐπίθεμα ἔναντι κυρίου ἀπὸ τοῦ κριοῦ τῆς τελειώσεως καὶ ἐγένετο Μωυσῇ ἐν μερίδι καθὰ ἐνετείλατο κύριος τῷ Μωυσῇ 
8:30	καὶ ἔλαβεν Μωυσῆς ἀπὸ τοῦ ἐλαίου τῆς χρίσεως καὶ ἀπὸ τοῦ αἵματος τοῦ ἐπὶ τοῦ θυσιαστηρίου καὶ προσέρρανεν ἐπὶ Ααρων καὶ τὰς στολὰς αὐτοῦ καὶ τοὺς υἱοὺς αὐτοῦ καὶ τὰς στολὰς τῶν υἱῶν αὐτοῦ μετ᾽ αὐτοῦ καὶ ἡγίασεν Ααρων καὶ τὰς στολὰς αὐτοῦ καὶ τοὺς υἱοὺς αὐτοῦ καὶ τὰς στολὰς τῶν υἱῶν αὐτοῦ μετ᾽ αὐτοῦ 
8:31	καὶ εἶπεν Μωυσῆς πρὸς Ααρων καὶ τοὺς υἱοὺς αὐτοῦ ἑψήσατε τὰ κρέα ἐν τῇ αὐλῇ τῆς σκηνῆς τοῦ μαρτυρίου ἐν τόπῳ ἁγίῳ καὶ ἐκεῖ φάγεσθε αὐτὰ καὶ τοὺς ἄρτους τοὺς ἐν τῷ κανῷ τῆς τελειώσεως ὃν τρόπον συντέτακταί μοι λέγων Ααρων καὶ οἱ υἱοὶ αὐτοῦ φάγονται αὐτά 
8:32	καὶ τὸ καταλειφθὲν τῶν κρεῶν καὶ τῶν ἄρτων ἐν πυρὶ κατακαυθήσεται 
8:33	καὶ ἀπὸ τῆς θύρας τῆς σκηνῆς τοῦ μαρτυρίου οὐκ ἐξελεύσεσθε ἑπτὰ ἡμέρας ἕως ἡμέρα πληρωθῇ ἡμέρα τελειώσεως ὑμῶν ἑπτὰ γὰρ ἡμέρας τελειώσει τὰς χεῖρας ὑμῶν 
8:34	καθάπερ ἐποίησεν ἐν τῇ ἡμέρᾳ ταύτῃ ἐνετείλατο κύριος τοῦ ποιῆσαι ὥστε ἐξιλάσασθαι περὶ ὑμῶν 
8:35	καὶ ἐπὶ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου καθήσεσθε ἑπτὰ ἡμέρας ἡμέραν καὶ νύκτα φυλάξεσθε τὰ φυλάγματα κυρίου ἵνα μὴ ἀποθάνητε οὕτως γὰρ ἐνετείλατό μοι κύριος ὁ θεός 
8:36	καὶ ἐποίησεν Ααρων καὶ οἱ υἱοὶ αὐτοῦ πάντας τοὺς λόγους οὓς συνέταξεν κύριος τῷ Μωυσῇ 
9:1	καὶ ἐγενήθη τῇ ἡμέρᾳ τῇ ὀγδόῃ ἐκάλεσεν Μωυσῆς Ααρων καὶ τοὺς υἱοὺς αὐτοῦ καὶ τὴν γερουσίαν Ισραηλ 
9:2	καὶ εἶπεν Μωυσῆς πρὸς Ααρων λαβὲ σεαυτῷ μοσχάριον ἐκ βοῶν περὶ ἁμαρτίας καὶ κριὸν εἰς ὁλοκαύτωμα ἄμωμα καὶ προσένεγκε αὐτὰ ἔναντι κυρίου 
9:3	καὶ τῇ γερουσίᾳ Ισραηλ λάλησον λέγων λάβετε χίμαρον ἐξ αἰγῶν ἕνα περὶ ἁμαρτίας καὶ μοσχάριον καὶ ἀμνὸν ἐνιαύσιον εἰς ὁλοκάρπωσιν ἄμωμα 
